A,B,C,D,E,F,G,H,I,J,K,L
'DM_4crsol_c','EX_ala__D_e','DALAt2pp','DM_oxam_c','CBMKr','CBPS','ECP_0188','ECP_2849','ECP_0959','ECP_0959','ECP_0251','ECP_4015'
'DM_5drib_c','EX_fe2_e','EX_fe3_e','EX_ac_e','ACKr','ACS','ECP_1085','ECP_0959','ECP_4059','ECP_4301','ECP_0738','ECP_0739'
'DM_amob_c','EX_fe3_e','EX_o2_e','EX_ac_e','ACS','PTAr','ECP_2362','ECP_0959','ECP_0513','ECP_4301','ECP_0738','ECP_0740'
'DM_mththf_c','EX_fe3_e','FE2tex','EX_co2_e','EX_fe2_e','EX_h_e','ECP_0004','ECP_2668','ECP_3285','ECP_4301','ECP_0737','ECP_0739'
'BIOMASS_Ec_iJO1366_core_53p95M','EX_fe3_e','O2tex','EX_co2_e','EX_fe3_e','EX_h_e','ECP_0169','ECP_0079','ECP_3878','ECP_4301','ECP_0737','ECP_0740'
'EX_ca2_e','EX_o2_e','EX_succ_e','EX_co2_e','EX_h_e','EX_o2_e','ECP_1086','ECP_0079','ECP_3877','ECP_4301','ECP_0123','ECP_0739'
'EX_cl_e','EX_o2_e','CPPPGO2','EX_co2_e','EX_h_e','FE2tex','s0001','ECP_0080','ECP_3878','ECP_4301','ECP_0123','ECP_0740'
'EX_cobalt2_e','EX_o2_e','ENO','EX_co2_e','EX_h_e','FE3tex','ECP_2355','ECP_0080','ECP_3877','ECP_0535','ECP_3465','ECP_4767'
'EX_cu2_e','EX_o2_e','GAPD','EX_co2_e','EX_h_e','FEROpp','ECP_3341','ECP_1793','ECP_2502','ECP_0738','ECP_2909','ECP_0739'
'EX_glc__D_e','EX_o2_e','OPHHX3','EX_co2_e','EX_h_e','O2tex','ECP_3340','ECP_0125','ECP_1329','ECP_0738','ECP_2909','ECP_0740'
'EX_k_e','EX_o2_e','PGK','EX_fe2_e','EX_h_e','CO2tex','ECP_0193','ECP_1082','plsB','ECP_0737','ECP_2909','ECP_0739'
'EX_meoh_e','EX_o2_e','PGM','EX_fe3_e','EX_h_e','CO2tex','ECP_4172','ECP_0535','ECP_2523','ECP_0737','ECP_2909','ECP_0740'
'EX_mg2_e','EX_o2_e','PPPGO3','EX_fe3_e','FEROpp','FESD1s','ECP_2830','ECP_0535','ECP_1255','ECP_0123','ECP_2552','ECP_0590'
'EX_mn2_e','EX_o2_e','SUCCtex','EX_fe3_e','FEROpp','FESR','ECP_1083','ECP_0535','ECP_4337','ECP_0123','ECP_2909','ECP_0739'
'EX_mobd_e','EX_succ_e','FUM','EX_fe3_e','FEROpp','O2tpp','ECP_4170','ECP_0440','ECP_0094','ECP_0123','ECP_2909','ECP_0740'
'EX_nh4_e','EX_succ_e','O2tex','EX_glyc_e','EX_h_e','EX_h2o_e','ECP_3289','ECP_1233','ECP_4270','ECP_0123','ECP_0590','ECP_2905'
'EX_ni2_e','EX_succ_e','O2tpp','EX_glyc_e','EX_h_e','H2Otex','ECP_3287','ECP_2552','ECP_2905','ECP_0123','ECP_0590','ECP_4772'
