,gene_id,uniprot,interpro,goa
0,ECP_0188,,,
1,ECP_1085,,,
2,ECP_2362,,,
3,ECP_0004,,,
4,ECP_0169,,,
5,ECP_1086,,,
6,s0001,,,
7,ECP_2355,,,
8,ECP_3341,,,
9,ECP_3340,,,
10,ECP_0193,,,
11,ECP_4172,,,
12,ECP_2830,,,
13,ECP_1083,,,
14,ECP_4170,,,
15,ECP_3289,,,
16,ECP_3287,,,
17,ECP_3288,,,
18,ECP_4511,,,
19,ECP_4510,,,
20,ECP_3450,,,
21,ECP_1088,,,
22,ECP_1755,,,
23,ECP_3451,,,
24,ECP_2732,,,
25,ECP_1126,,,
26,ECP_4422,,,
27,ECP_3107,,,
28,ECP_4171,,,
29,ECP_4219,,,
30,ECP_0582,,,
31,ECP_0583,,,
32,ECP_0788,,,
33,ECP_4207,,,
34,ECP_1311,,,
35,ECP_1312,,,
36,ECP_0790,,,
37,ECP_0473,,,
38,ECP_4173,,,
39,ECP_3259,,,
40,ECP_3527,,,
41,ECP_0139,,,
42,ECP_4495,,,
43,ECP_2576,,,
44,ECP_0939,,,
45,ECP_2062,,,
46,ECP_0840,,,
47,ECP_4067,,,
48,ECP_4468,,,
49,ECP_0789,,,
50,ECP_3283,,,
51,ECP_3134,,,
52,ECP_1256,,,
53,ECP_2600,,,
54,ECP_2601,,,
55,ECP_2368,,,
56,ECP_4256,,,
57,ECP_0925,,,
58,ECP_0797,,,
59,ECP_0795,,,
60,ECP_0731,,,
61,ECP_2761,,,
62,ECP_2851,,,
63,ECP_4003,,,
64,ECP_0183,,,
65,ECP_3136,,,
66,ECP_0792,,,
67,ECP_3746,,,
68,ECP_3964,,,
69,ECP_0029,,,
70,ECP_2492,,,
71,ECP_2354,,,
72,ECP_3148,,,
73,ECP_1054,,,
74,ECP_3264,,,
75,ECP_3475,,,
76,ECP_1640,,,
77,ECP_0480,,,
78,ECP_0027,,,
79,ECP_0104,,,
80,ECP_3967,,,
81,ECP_1090,,,
82,ECP_0181,,,
83,ECP_0479,,,
84,ECP_1342,,,
85,ECP_2738,,,
86,ECP_2737,,,
87,ECP_0536,,,
88,ECP_0023,,,
89,ECP_3929,,,
90,ECP_0164,,,
91,ECP_3709,,,
92,ECP_1420,,,
93,ECP_3928,,,
94,ECP_4081,,,
95,ECP_2351,,,
96,ECP_4184,,,
97,ECP_1258,,,
98,ECP_2422,,,
99,ECP_2509,,,
100,ECP_2193,,,
101,ECP_1330,,,
102,ECP_4257,,,
103,ECP_0134,,,
104,ECP_2063,,,
105,ECP_2065,,,
106,ECP_3997,,,
107,ECP_2141,,,
108,ECP_0152,,,
109,ECP_0003,,,
110,ECP_4223,,,
111,ECP_2064,,,
112,ECP_2535,,,
113,ECP_4000,,,
114,ECP_1131,,,
115,ECP_2066,,,
116,ECP_2068,,,
117,ECP_1310,,,
118,ECP_3963,,,
119,ECP_0075,,,
120,ECP_0074,,,
121,ECP_0073,,,
122,ECP_0076,,,
123,ECP_0929,,,
124,ECP_3286,,,
125,ECP_1263,,,
126,ECP_0190,,,
127,ECP_0791,,,
128,ECP_1084,,,
129,ECP_2520,,,
130,ECP_2728,,,
131,ECP_2729,,,
132,ECP_2935,,,
133,ECP_0798,,,
134,ECP_3731,,,
135,ECP_0143,,,
136,ECP_0010,,,
137,ECP_1061,,,
138,ECP_0799,,,
139,ECP_0839,,,
140,ECP_4155,,,
141,ECP_2615,,,
142,ECP_1686,,,
143,ECP_0669,,,
144,ECP_0109,,,
145,argI,,,
146,ECP_3274,,,
147,ECP_0918,,,
148,ECP_1334,,,
149,ECP_4056,,,
150,ECP_2350,,,
151,ECP_3740,,,
152,ECP_0445,,,
153,ECP_0142,,,
154,ECP_0089,,,
155,ECP_2736,,,
156,ECP_2566,,,
157,ECP_0054,,,
158,ECP_2359,,,
159,ECP_3263,,,
160,ECP_3498,,,
161,ECP_4188,,,
162,ECP_0432,,,
163,ECP_3737,,,
164,ECP_4063,,,
165,ECP_4218,,,
166,ECP_2501,,,
167,ECP_2069,,,
168,ECP_2490,,,
169,ECP_2559,,,
170,ECP_2067,,,
171,ECP_0919,,,
172,ECP_4404,,,
173,ECP_2587,,,
174,ECP_3732,,,
175,ECP_0761,,,
176,ECP_1609,,,
177,ECP_0474,,,
178,ECP_2652,,,
179,ECP_2733,,,
180,ECP_2734,,,
181,ECP_2485,,,
182,ECP_3708,,,
183,ECP_3459,,,
184,ECP_4148,,,
185,ECP_0926,,,
186,ECP_0174,,,
187,ECP_4204,,,
188,ECP_4202,,,
189,thiI,,,
190,ECP_4205,,,
191,ECP_2477,,,
192,ECP_2840,,,
193,ECP_0476,,,
194,ECP_4206,,,
195,ECP_1308,,,
196,ECP_1309,,,
197,ECP_4203,,,
198,ECP_0187,,,
199,ECP_0087,,,
200,ECP_0189,,,
201,ECP_3276,,,
202,ECP_0092,,,
203,ECP_0090,,,
204,ECP_0093,,,
205,ECP_4186,,,
206,ECP_0182,,,
207,ECP_0088,,,
208,ECP_0098,,,
209,ECP_3996,,,
210,ECP_4210,,,
211,ECP_0585,,,
