,gene_id,uniprot,interpro,goa
0,ECP_2849,,,
1,ECP_0959,,,
2,ECP_0959,,,
3,ECP_2668,,,
4,ECP_0079,,,
5,ECP_0079,,,
6,ECP_0080,,,
7,ECP_0080,,,
8,ECP_1793,,,
9,ECP_0125,,,
10,ECP_1082,,,
11,ECP_0535,,,
12,ECP_0535,,,
13,ECP_0535,,,
14,ECP_0440,,,
15,ECP_1233,,,
16,ECP_2552,,,
17,ECP_2552,,,
18,ECP_3149,,,
19,ECP_0686,,,
20,ECP_4149,,,
21,ECP_0165,,,
22,ECP_2457,,,
23,ECP_3091,,,
24,ECP_2444,,,
25,ECP_0921,,,
26,ECP_3052,,,
27,ECP_3052,,,
28,ECP_3052,,,
29,ECP_0048,,,
30,ECP_0101,,,
31,ECP_2916,,,
32,ECP_1707,,,
33,ECP_1707,,,
34,ECP_2072,,,
35,ECP_3590,,,
36,ECP_0267,,,
37,ECP_2862,,,
38,ECP_2860,,,
39,ECP_2861,,,
40,ECP_2534,,,
41,ECP_2534,,,
42,ECP_2534,,,
43,ECP_2534,,,
44,ECP_2534,,,
45,ECP_2534,,,
46,ECP_2533,,,
47,ECP_2533,,,
48,ECP_2533,,,
49,ECP_2533,,,
50,ECP_2533,,,
51,ECP_2533,,,
52,ECP_4228,,,
53,ECP_2446,,,
54,ECP_2446,,,
55,ECP_2446,,,
56,ECP_0777,,,
57,ECP_0777,,,
58,ECP_0776,,,
59,ECP_0776,,,
60,ECP_2445,,,
61,ECP_0775,,,
62,ECP_3072,,,
63,ECP_3072,,,
64,ECP_3072,,,
65,ECP_3072,,,
66,ECP_1255,,,
67,ECP_1639,,,
68,ECP_0447,,,
69,ECP_3210,,,
