,gene_id,uniprot,interpro,goa
0,ECP_0959,,,
1,ECP_4059,,,
2,ECP_0513,,,
3,ECP_3285,,,
4,ECP_3878,,,
5,ECP_3877,,,
6,ECP_3878,,,
7,ECP_3877,,,
8,ECP_2502,,,
9,ECP_1329,,,
10,plsB,,,
11,ECP_2523,,,
12,ECP_1255,,,
13,ECP_4337,,,
14,ECP_0094,,,
15,ECP_4270,,,
16,ECP_2905,,,
17,ECP_4772,,,
18,plsB,,,
19,ECP_3943,,,
20,ECP_0002,,,
21,ECP_1536,,,
22,ECP_4077,,,
23,ECP_1566,,,
24,ECP_2438,,,
25,ECP_0179,,,
26,ECP_3057,,,
27,ECP_3055,,,
28,ECP_3056,,,
29,ECP_1550,,,
30,ECP_1809,,,
31,ECP_1727,,,
32,ECP_3302,,,
33,gltB,,,
34,ECP_3471,,,
35,ECP_0902,,,
36,ECP_2510,,,
37,ECP_2510,,,
38,ECP_2510,,,
39,ECP_2510,,,
40,ECP_1629,,,
41,ECP_1630,,,
42,ECP_1626,,,
43,ECP_1628,,,
44,ECP_1627,,,
45,ECP_1631,,,
46,ECP_1629,,,
47,ECP_1630,,,
48,ECP_1626,,,
49,ECP_1628,,,
50,ECP_1627,,,
51,ECP_1631,,,
52,ECP_4023,,,
53,ECP_0777,,,
54,ECP_0776,,,
55,ECP_0775,,,
56,ECP_2445,,,
57,ECP_2447,,,
58,ECP_2445,,,
59,ECP_2447,,,
60,ECP_0775,,,
61,ECP_2447,,,
62,ECP_3924,,,
63,ECP_3925,,,
64,ECP_3927,,,
65,ECP_3926,,,
66,ECP_4337,,,
67,ECP_3369,,,
68,ECP_3476,,,
69,ECP_3965,,,
