,gene_id,uniprot,interpro,goa
0,ECP_0959,,,
1,ECP_4301,,,
2,ECP_4301,,,
3,ECP_4301,,,
4,ECP_4301,,,
5,ECP_4301,,,
6,ECP_4301,,,
7,ECP_0535,,,
8,ECP_0738,,,
9,ECP_0738,,,
10,ECP_0737,,,
11,ECP_0737,,,
12,ECP_0123,,,
13,ECP_0123,,,
14,ECP_0123,,,
15,ECP_0123,,,
16,ECP_0123,,,
17,ECP_2552,,,
18,ECP_2552,,,
19,ECP_2552,,,
20,ECP_2552,,,
21,ECP_2552,,,
22,ECP_2552,,,
23,ECP_2552,,,
24,ECP_2552,,,
25,ECP_2552,,,
26,ECP_2552,,,
27,ECP_2329,,,
28,ECP_4333,,,
29,ECP_0576,,,
30,ECP_0576,,,
31,ECP_0576,,,
32,ECP_0576,,,
33,ECP_0576,,,
34,ECP_0572,,,
35,ECP_0572,,,
36,ECP_0572,,,
37,ECP_0572,,,
38,ECP_0572,,,
39,ECP_3934,,,
40,ECP_3934,,,
41,ECP_3934,,,
42,ECP_3934,,,
43,ECP_3934,,,
44,ECP_3934,,,
45,ECP_3932,,,
46,ECP_3932,,,
47,ECP_3932,,,
48,ECP_3932,,,
49,ECP_3932,,,
50,ECP_3932,,,
51,ECP_3931,,,
52,ECP_3931,,,
53,ECP_3931,,,
54,ECP_3931,,,
55,ECP_3931,,,
56,ECP_3931,,,
57,ECP_3935,,,
58,ECP_3935,,,
59,ECP_3935,,,
60,ECP_3935,,,
61,ECP_3935,,,
62,ECP_3935,,,
63,ECP_3930,,,
64,ECP_3930,,,
65,ECP_3930,,,
66,ECP_3930,,,
67,ECP_3930,,,
68,ECP_3930,,,
69,ECP_3937,,,
70,ECP_3937,,,
71,ECP_3937,,,
72,ECP_3937,,,
73,ECP_3937,,,
74,ECP_3937,,,
75,ECP_3936,,,
76,ECP_3936,,,
77,ECP_3936,,,
78,ECP_3936,,,
79,ECP_3936,,,
80,ECP_3936,,,
81,ECP_3933,,,
82,ECP_3933,,,
83,ECP_3933,,,
84,ECP_3933,,,
85,ECP_3933,,,
86,ECP_3933,,,
87,ECP_4010,,,
88,ECP_4010,,,
89,ECP_4010,,,
90,ECP_4010,,,
91,ECP_4010,,,
92,ECP_0412,,,
93,ECP_1652,,,
94,ECP_3973,,,
95,ECP_1556,,,
96,ECP_1727,,,
97,ECP_1727,,,
98,ECP_1727,,,
99,ECP_1727,,,
100,ECP_1727,,,
101,ECP_2760,,,
102,ECP_2898,,,
103,ECP_2898,,,
104,ECP_2897,,,
105,ECP_2897,,,
106,ECP_2896,,,
107,ECP_2896,,,
108,ECP_3590,,,
109,ECP_3590,,,
110,ECP_2862,,,
111,ECP_2862,,,
112,ECP_2862,,,
113,ECP_2862,,,
114,ECP_2862,,,
115,ECP_2860,,,
116,ECP_2860,,,
117,ECP_2860,,,
118,ECP_2860,,,
119,ECP_2860,,,
120,ECP_2861,,,
121,ECP_2861,,,
122,ECP_2861,,,
123,ECP_2861,,,
124,ECP_2861,,,
125,ECP_4225,,,
126,ECP_4225,,,
127,ECP_4225,,,
128,ECP_4225,,,
129,ECP_4225,,,
130,ECP_4224,,,
131,ECP_3482,,,
132,ECP_2448,,,
133,ECP_2448,,,
134,ECP_2448,,,
135,ECP_0590,,,
136,ECP_0590,,,
137,ECP_0590,,,
138,ECP_0590,,,
139,ECP_0590,,,
140,ECP_0590,,,
141,ECP_0590,,,
142,ECP_0590,,,
143,ECP_1331,,,
144,ECP_2905,,,
145,ECP_2905,,,
146,ECP_2905,,,
147,ECP_2905,,,
148,ECP_2915,,,
149,ECP_2915,,,
150,ECP_2915,,,
151,ECP_2915,,,
152,ECP_4169,,,
153,ECP_4169,,,
154,ECP_4169,,,
155,ECP_4169,,,
156,ECP_4169,,,
157,ECP_4169,,,
158,ECP_4169,,,
159,ECP_4169,,,
160,ECP_3465,,,
161,ECP_2278,,,
162,ECP_2278,,,
163,ECP_2277,,,
164,ECP_2277,,,
165,ECP_2641,,,
166,ECP_2640,,,
