,gene_id,uniprot,interpro,goa
0,ECP_0251,,,
1,ECP_0738,,,
2,ECP_0738,,,
3,ECP_0737,,,
4,ECP_0737,,,
5,ECP_0123,,,
6,ECP_0123,,,
7,ECP_3465,,,
8,ECP_2909,,,
9,ECP_2909,,,
10,ECP_2909,,,
11,ECP_2909,,,
12,ECP_2552,,,
13,ECP_2909,,,
14,ECP_2909,,,
15,ECP_0590,,,
16,ECP_0590,,,
17,ECP_0885,,,
18,ECP_0885,,,
19,ECP_2898,,,
20,ECP_2897,,,
21,ECP_2896,,,
22,ECP_4225,,,
23,ECP_4169,,,
24,ECP_4169,,,
25,ECP_4169,,,
26,ECP_4169,,,
27,ECP_2405,,,
28,ECP_3471,,,
29,ECP_4225,,,
30,ECP_4169,,,
31,ECP_4169,,,
32,ECP_4169,,,
33,ECP_4169,,,
34,ECP_4225,,,
35,ECP_4169,,,
36,ECP_4169,,,
37,ECP_4169,,,
38,ECP_4169,,,
39,ECP_1727,,,
40,ECP_1727,,,
41,ECP_1727,,,
42,ECP_1794,,,
43,ECP_1795,,,
44,ECP_2915,,,
45,ECP_1727,,,
46,ECP_1727,,,
47,ECP_1727,,,
48,ECP_1794,,,
49,ECP_1795,,,
50,ECP_2915,,,
51,ECP_1727,,,
52,ECP_1727,,,
53,ECP_1727,,,
54,ECP_1794,,,
55,ECP_1795,,,
56,ECP_2915,,,
57,ECP_1727,,,
58,ECP_1727,,,
59,ECP_1727,,,
60,ECP_1794,,,
61,ECP_1795,,,
62,ECP_2915,,,
63,ECP_1727,,,
64,ECP_1727,,,
65,ECP_1727,,,
66,ECP_1794,,,
67,ECP_1795,,,
68,ECP_2915,,,
69,ECP_1727,,,
70,ECP_1727,,,
71,ECP_1727,,,
72,ECP_1794,,,
73,ECP_1795,,,
74,ECP_2915,,,
75,ECP_1727,,,
76,ECP_1727,,,
77,ECP_1727,,,
78,ECP_1794,,,
79,ECP_1795,,,
80,ECP_2915,,,
81,ECP_1727,,,
82,ECP_1727,,,
83,ECP_1727,,,
84,ECP_1794,,,
85,ECP_1795,,,
86,ECP_2915,,,
87,ECP_4492,,,
88,ECP_4492,,,
89,ECP_4492,,,
90,ECP_4492,,,
91,ECP_4492,,,
92,ECP_0921,,,
93,ECP_0765,,,
94,ECP_2584,,,
95,ECP_1555,,,
96,ECP_4225,,,
97,ECP_1649,,,
98,ECP_1649,,,
99,ECP_1649,,,
100,ECP_1649,,,
101,ECP_3489,,,
102,ECP_0590,,,
103,ECP_0590,,,
104,ECP_0590,,,
105,ECP_0590,,,
106,ECP_0590,,,
107,ECP_0590,,,
108,ECP_2278,,,
109,ECP_2277,,,
110,ECP_4225,,,
111,ECP_4169,,,
112,ECP_4169,,,
113,ECP_4169,,,
114,ECP_4169,,,
115,ECP_4225,,,
116,ECP_4169,,,
117,ECP_4169,,,
118,ECP_4169,,,
119,ECP_4169,,,
120,ECP_4225,,,
121,ECP_4169,,,
122,ECP_4169,,,
123,ECP_4169,,,
124,ECP_4169,,,
125,ECP_0590,,,
126,ECP_2905,,,
127,ECP_2915,,,
128,ECP_4169,,,
129,ECP_4169,,,
130,ECP_3053,,,
131,ECP_0159,,,
132,ECP_0777,,,
133,ECP_0776,,,
134,ECP_0775,,,
135,ECP_0913,,,
136,ECP_0913,,,
137,ECP_3207,,,
138,ECP_3207,,,
139,ECP_4169,,,
140,ECP_4169,,,
141,ECP_4169,,,
142,ECP_4169,,,
143,ECP_0855,,,
144,ECP_4169,,,
145,ECP_4169,,,
146,ECP_4169,,,
147,ECP_4169,,,
148,ECP_1649,,,
149,ECP_1649,,,
150,ECP_1649,,,
151,ECP_1649,,,
152,ECP_4772,,,
153,ECP_4772,,,
154,ECP_4772,,,
155,ECP_4772,,,
156,ECP_0733,,,
157,ECP_0736,,,
158,ECP_0735,,,
159,ECP_0734,,,
160,ECP_4767,,,
161,ECP_2641,,,
162,ECP_2640,,,
163,ECP_2641,,,
164,ECP_2640,,,
165,ECP_4487,,,
166,ECP_4487,,,
