,gene_id,uniprot,interpro,goa
0,ECP_4015,,,
1,ECP_0739,,,
2,ECP_0740,,,
3,ECP_0739,,,
4,ECP_0740,,,
5,ECP_0739,,,
6,ECP_0740,,,
7,ECP_4767,,,
8,ECP_0739,,,
9,ECP_0740,,,
10,ECP_0739,,,
11,ECP_0740,,,
12,ECP_0590,,,
13,ECP_0739,,,
14,ECP_0740,,,
15,ECP_2905,,,
16,ECP_4772,,,
17,ECP_3718,,,
18,ECP_3717,,,
19,ECP_0590,,,
20,ECP_0590,,,
21,ECP_0590,,,
22,ECP_4169,,,
23,ECP_0733,,,
24,ECP_0736,,,
25,ECP_0735,,,
26,ECP_0734,,,
27,ECP_3676,,,
28,ECP_2906,,,
29,ECP_4169,,,
30,ECP_0733,,,
31,ECP_0736,,,
32,ECP_0735,,,
33,ECP_0734,,,
34,ECP_4169,,,
35,ECP_0733,,,
36,ECP_0736,,,
37,ECP_0735,,,
38,ECP_0734,,,
39,ECP_1794,,,
40,ECP_1795,,,
41,ECP_4128,,,
42,ECP_2915,,,
43,ECP_2915,,,
44,ECP_4128,,,
45,ECP_1794,,,
46,ECP_1795,,,
47,ECP_4128,,,
48,ECP_2915,,,
49,ECP_2915,,,
50,ECP_4128,,,
51,ECP_1794,,,
52,ECP_1795,,,
53,ECP_4128,,,
54,ECP_2915,,,
55,ECP_2915,,,
56,ECP_4128,,,
57,ECP_1794,,,
58,ECP_1795,,,
59,ECP_4128,,,
60,ECP_2915,,,
61,ECP_2915,,,
62,ECP_4128,,,
63,ECP_1794,,,
64,ECP_1795,,,
65,ECP_4128,,,
66,ECP_2915,,,
67,ECP_2915,,,
68,ECP_4128,,,
69,ECP_1794,,,
70,ECP_1795,,,
71,ECP_4128,,,
72,ECP_2915,,,
73,ECP_2915,,,
74,ECP_4128,,,
75,ECP_1794,,,
76,ECP_1795,,,
77,ECP_4128,,,
78,ECP_2915,,,
79,ECP_2915,,,
80,ECP_4128,,,
81,ECP_1794,,,
82,ECP_1795,,,
83,ECP_4128,,,
84,ECP_2915,,,
85,ECP_2915,,,
86,ECP_4128,,,
87,ECP_3572,,,
88,ECP_3574,,,
89,ECP_3573,,,
90,ECP_3571,,,
91,ECP_3575,,,
92,ECP_2726,,,
93,ECP_2602,,,
94,ECP_3590,,,
95,ECP_4169,,,
96,ECP_1649,,,
97,ECP_0733,,,
98,ECP_0736,,,
99,ECP_0735,,,
100,ECP_0734,,,
101,ECP_1649,,,
102,ECP_2905,,,
103,ECP_4772,,,
104,ECP_2905,,,
105,ECP_4772,,,
106,ECP_2905,,,
107,ECP_4772,,,
108,ECP_4487,,,
109,ECP_4487,,,
110,ECP_4169,,,
111,ECP_0733,,,
112,ECP_0736,,,
113,ECP_0735,,,
114,ECP_0734,,,
115,ECP_4169,,,
116,ECP_0733,,,
117,ECP_0736,,,
118,ECP_0735,,,
119,ECP_0734,,,
120,ECP_4169,,,
121,ECP_0733,,,
122,ECP_0736,,,
123,ECP_0735,,,
124,ECP_0734,,,
125,ECP_4169,,,
126,ECP_4169,,,
127,ECP_1649,,,
128,ECP_4772,,,
129,ECP_0566,,,
130,ECP_4169,,,
131,ECP_2524,,,
132,ECP_4126,,,
133,ECP_4126,,,
134,ECP_4126,,,
135,ECP_4164,,,
136,ECP_4165,,,
137,ECP_4164,,,
138,ECP_4165,,,
139,ECP_0733,,,
140,ECP_0736,,,
141,ECP_0735,,,
142,ECP_0734,,,
143,ECP_3147,,,
144,ECP_0733,,,
145,ECP_0736,,,
146,ECP_0735,,,
147,ECP_0734,,,
148,ECP_0733,,,
149,ECP_0736,,,
150,ECP_0735,,,
151,ECP_0734,,,
152,ECP_0733,,,
153,ECP_0736,,,
154,ECP_0735,,,
155,ECP_0734,,,
156,ECP_0566,,,
157,ECP_0566,,,
158,ECP_0566,,,
159,ECP_0566,,,
160,ECP_1255,,,
161,ECP_4487,,,
162,ECP_4487,,,
163,ECP_4487,,,
164,ECP_4487,,,
165,ECP_0902,,,
166,ECP_0902,,,
