A,B,C,D,E,F,G,H,I,J,K,L
'DM_4crsol_c','EX_fe2_e','EX_fe3_e','DM_oxam_c','CBMKr','CBPS','EC55989_0174','EC55989_3112','EC55989_1003','EC55989_1003','EC55989_0245','EC55989_4298'
'DM_5drib_c','EX_o2_e','EX_fe3_e','EX_ac_e','ACKr','ACS','EC55989_1205','EC55989_1003','EC55989_4321','EC55989_4564','EC55989_0710','EC55989_0712'
'DM_amob_c','EX_o2_e','EX_succ_e','EX_ac_e','ACS','PTAr','EC55989_2567','EC55989_1003','EC55989_0466','EC55989_4564','EC55989_0710','EC55989_0711'
'DM_mththf_c','EX_o2_e','CPPPGO2','EX_fe3_e','FEROpp','FESD1s','EC55989_0004','EC55989_3615','EC55989_2970','EC55989_4564','EC55989_0709','EC55989_0712'
'BIOMASS_Ec_iJO1366_core_53p95M','EX_o2_e','OPHHX3','EX_fe3_e','FEROpp','FESR','EC55989_0154','EC55989_4139','EC55989_0075','EC55989_4564','EC55989_0709','EC55989_0711'
'EX_ca2_e','EX_o2_e','SUCCtex','EX_fe3_e','FEROpp','O2tpp','EC55989_1206','EC55989_4139','EC55989_0074','EC55989_4564','EC55989_0109','EC55989_0712'
'EX_cl_e','AACPS3','3HAD160','EX_glyclt_e','GLXCL','MALS','s0001','EC55989_4138','EC55989_0075','EC55989_4564','EC55989_0109','EC55989_0711'
'EX_cobalt2_e','AACPS3','3OAR160','EX_o2_e','ALLTAMH','PPC','EC55989_3669','EC55989_4138','EC55989_0074','EC55989_0487','EC55989_5045','EC55989_3785'
'EX_cu2_e','AACPS3','3OAS160','EX_o2_e','ALLTN','PPC','EC55989_2560','EC55989_2027','EC55989_2785','EC55989_0710','EC55989_3208','EC55989_0712'
'EX_glc__D_e','AACPS4','3HAD161','EX_o2_e','DHBS','FE3abcpp','EC55989_0179','EC55989_1437','EC55989_0111','EC55989_0710','EC55989_3208','EC55989_0711'
'EX_k_e','AACPS4','3OAR161','EX_o2_e','DHBS','FE3tex','EC55989_3670','EC55989_1202','EC55989_4533','EC55989_0709','EC55989_3208','EC55989_0712'
'EX_meoh_e','AACPS4','3OAS161','EX_o2_e','DHBSH','FE3abcpp','EC55989_4441','EC55989_0487','EC55989_2803','EC55989_0709','EC55989_3208','EC55989_0711'
'EX_mg2_e','AACPS7','3HAD120','EX_o2_e','DHBSH','FE3tex','EC55989_3094','EC55989_0487','EC55989_1303','EC55989_0109','EC55989_2837','EC55989_0543'
'EX_mn2_e','AACPS7','3OAR120','EX_o2_e','DHORD5','DHORDfum','EC55989_1203','EC55989_0487','EC55989_4585','EC55989_0109','EC55989_0543','EC55989_3200'
'EX_mobd_e','AACPS7','3OAS120','EX_o2_e','DHORDfum','FRD2','EC55989_4439','EC55989_0088','EC55989_0386','EC55989_0109','EC55989_0543','EC55989_5050'
'EX_nh4_e','ACACT1r','3HAD100','EX_o2_e','ENTCS','FE3abcpp','EC55989_3618','EC55989_1285','EC55989_4546','EC55989_0109','EC55989_3208','EC55989_0712'
'EX_ni2_e','ACACT1r','3HAD40','EX_o2_e','ENTCS','FE3tex','EC55989_4820','EC55989_2837','EC55989_3200','EC55989_0109','EC55989_3208','EC55989_0711'
'EX_pi_e','ACACT1r','3HAD60','EX_o2_e','ENTERES2','FE3abcpp','EC55989_3619','EC55989_2837','EC55989_5050','EC55989_0915','EC55989_2837','EC55989_4084'
'EX_so4_e','ACACT1r','3HAD80','EX_o2_e','ENTERES2','FE3tex','EC55989_4819','EC55989_3474','EC55989_4533','EC55989_0915','EC55989_2837','EC55989_4083'
'EX_zn2_e','ACACT1r','3OAR100','EX_o2_e','FE3abcpp','FEENTERabcpp','EC55989_3617','EC55989_0660','EC55989_4219','EC55989_2837','EC55989_3190','EC55989_0543'
'3OAR140','ACACT1r','3OAR40','EX_o2_e','FE3abcpp','FEENTERexs','EC55989_3765','EC55989_0002','EC55989_4422','EC55989_2837','EC55989_3192','EC55989_0543'
'3OAS140','ACACT1r','3OAR60','EX_o2_e','FE3abcpp','FEENTERtex','EC55989_1208','EC55989_1757','EC55989_0149','EC55989_2837','EC55989_3191','EC55989_0543'
'5DOAN','ACACT1r','3OAR80','EX_o2_e','FE3abcpp','FEENTERtonex','EC55989_3766','EC55989_2725','EC55989_4342','EC55989_2837','EC55989_4500','EC55989_4438'
'A5PISO','ACACT1r','3OAS100','EX_o2_e','FE3abcpp','FEENTERtpp','EC55989_1985','EC55989_3425','EC55989_1789','EC55989_2837','EC55989_4438','EC55989_0708'
'ACCOAC','ACACT1r','3OAS60','EX_o2_e','FE3abcpp','SERASr','EC55989_3023','EC55989_2704','EC55989_2710','EC55989_2837','EC55989_4438','EC55989_0706'
'ACGK','ACACT1r','3OAS80','EX_o2_e','FE3tex','FEENTERabcpp','EC55989_1244','EC55989_0955','EC55989_0165','EC55989_2837','EC55989_4438','EC55989_0705'
'ACGS','ACACT2r','3HAD100','EX_o2_e','FE3tex','FEENTERexs','EC55989_4732','EC55989_3384','EC55989_3388','EC55989_2837','EC55989_4438','EC55989_0707'
'ACHBS','ACACT2r','3HAD40','EX_o2_e','FE3tex','FEENTERtex','EC55989_3434','EC55989_3384','EC55989_3387','EC55989_2675','EC55989_2534','EC55989_4029'
'ACLS','ACACT2r','3HAD60','EX_o2_e','FE3tex','FEENTERtonex','EC55989_4440','EC55989_3384','EC55989_3389','EC55989_0530','EC55989_4500','EC55989_4438'
'ACODA','ACACT2r','3HAD80','EX_o2_e','FE3tex','FEENTERtpp','EC55989_4491','EC55989_1771','EC55989_0048','EC55989_0530','EC55989_4438','EC55989_0708'
'ACONTa','ACACT2r','3OAR100','EX_o2_e','FE3tex','SERASr','EC55989_0536','EC55989_0095','EC55989_2044','EC55989_0530','EC55989_4438','EC55989_0706'
'ACONTb','ACACT2r','3OAR40','EX_o2_e','G6PDH2r','RPE','EC55989_0537','EC55989_1948','EC55989_3215','EC55989_0530','EC55989_4438','EC55989_0705'
'ACOTA','ACACT2r','3OAR60','EX_o2_e','G6PDH2r','TKT2','EC55989_0817','EC55989_1459','EC55989_4345','EC55989_0530','EC55989_4438','EC55989_0707'
'ADCL','ACACT2r','3OAR80','EX_o2_e','GHMT2r','PPC','EC55989_4479','EC55989_1928','EC55989_3630','EC55989_0526','EC55989_4500','EC55989_4438'
'ADCS','ACACT2r','3OAS100','EX_o2_e','MOX','PDX5PO2','EC55989_1421','EC55989_1928','EC55989_3631','EC55989_0526','EC55989_4438','EC55989_0708'
'ADSK','ACACT2r','3OAS60','EX_o2_e','MOX','PPC','EC55989_1422','EC55989_2288','EC55989_3791','EC55989_0526','EC55989_4438','EC55989_0706'
'ADSL1r','ACACT2r','3OAS80','EX_o2_e','MTHFC','PPC','EC55989_0819','EC55989_3938','EC55989_0933','EC55989_0526','EC55989_4438','EC55989_0705'
'ADSL2r','ACACT3r','3HAD100','EX_o2_e','MTHFD','PPC','EC55989_0424','EC55989_0262','EC55989_2793','EC55989_0526','EC55989_4438','EC55989_0707'
'ADSS','ACACT3r','3HAD40','EX_o2_e','PGCD','PPC','EC55989_4442','EC55989_0346','EC55989_0119','EC55989_4211','EC55989_1948','EC55989_2028'
'AGPAT160','ACACT3r','3HAD60','EX_o2_e','PGL','RPE','EC55989_3591','EC55989_3155','EC55989_2793','EC55989_4211','EC55989_1948','EC55989_2029'
'AGPAT161','ACACT3r','3HAD80','EX_o2_e','PGL','TKT2','EC55989_3843','EC55989_3154','EC55989_2793','EC55989_4211','EC55989_1948','EC55989_4397'
'AGPR','ACACT3r','3OAR100','EX_o2_e','PPC','PSERT','EC55989_0125','EC55989_3153','EC55989_2793','EC55989_4211','EC55989_2028','EC55989_3214'
