A,B,C,D,E,F,G,H,I,J,K,L
'3HAD100','2AGPG160tipp','PGPP160','3HAD120','ACOAD6f','FACOAL141t2pp','KPN_00983','KPN_03043','KPN_03607','KPN_03244','KPN_00355','KPN_00415'
'3HAD121','2AGPG161tipp','PGPP161','3HAD120','ACOAD6f','CTECOAI6','KPN_01091','KPN_02364','KPN_02825','KPN_03244','KPN_00355','KPN_00472'
'3HAD141','2AGPG181tipp','PGPP181','3HAD120','ECOAH7','FACOAL141t2pp','KPN_01093','KPN_02364','KPN_00484','KPN_02762','KPN_02738','KPN_04413'
'3HAD161','2AGPGAT160','PGPP160','3HAD120','ECOAH7','CTECOAI6','KPN_02713','KPN_04246','KPN_01464','KPN_02763','KPN_02738','KPN_04413'
'3HAD181','2AGPGAT161','PGPP161','3HAD120','FACOAL141t2pp','HACD7i','KPN_00004','KPN_00456','KPN_02848','KPN_04074','KPN_00083','KPN_04268'
'3HAD40','2AGPGAT181','PGPP181','3HAD120','FACOAL141t2pp','ACACT7r','KPN_01092','KPN_00456','KPN_04839','KPN_04074','KPN_00083','KPN_04267'
'3HAD60','3HAD120','AACPS7','3HAD120','HACD7i','CTECOAI6','KPN_SPONT','KPN_00456','KPN_02238','KPN_04074','KPN_00082','KPN_04268'
'3HAD80','3HAD120','ECOAH6','3HAD120','ACACT7r','CTECOAI6','KPN_03664','KPN_00456','KPN_04492','KPN_04074','KPN_00082','KPN_04267'
'3OAR100','3HAD120','FACOAE120','3HAD140','AACPS1','AACPS3','KPN_03665','KPN_00120','KPN_00735','KPN_00083','KPN_04073','KPN_04268'
'3OAR121','3HAD120','HACD6i','3HAD140','AACPS1','FACOAE160','KPN_00198','KPN_00120','KPN_00734','KPN_00083','KPN_04073','KPN_04267'
'3OAR140','3HAD120','ACACT6r','3HAD140','ACOAD6f','ECOAH7','KPN_02706','KPN_00733','KPN_00735','KPN_00082','KPN_04073','KPN_04268'
'3OAR141','3HAD140','FACOAE140','3HAD140','ACOAD6f','HACD7i','KPN_04248','KPN_00733','KPN_00734','KPN_00082','KPN_04073','KPN_04267'
'3OAR161','3HAD160','AACPS3','3HAD140','ACOAD6f','ACACT7r','KPN_03226','KPN_00732','KPN_00735','KPN_02364','KPN_00120','KPN_02876'
'3OAR181','3HAD160','FACOAE160','3HAD140','ECOAH7','FACOAL141t2pp','KPN_03112','KPN_00732','KPN_00734','KPN_02364','KPN_00120','KPN_00935'
'3OAR40','3OAR120','AACPS7','3HAD140','ECOAH7','CTECOAI6','KPN_01139','KPN_00096','KPN_00323','KPN_02364','KPN_00120','KPN_03348'
'3OAR60','3OAR120','ECOAH6','3HAD140','FACOAL141t2pp','HACD7i','KPN_04576','KPN_04440','KPN_02308','KPN_02364','KPN_00120','KPN_04843'
'3OAR80','3OAR120','FACOAE120','3HAD140','FACOAL141t2pp','ACACT7r','KPN_03963','KPN_02876','KPN_00935','KPN_02364','KPN_02876','KPN_03341'
