A,B,C,D,E,F,G,H,I,J,K,L
'3HAD100','3HAD120','AACPS7','3HAD120','ACOAD6f','FACOAL141t2pp','STM1067','STM3315','STM2838_S','STM2927','STM0980','STM3334'
'3HAD121','3HAD120','ECOAH6','3HAD120','ACOAD6f','CTECOAI6','STM1195','STM3796','STM3901','STM2927','STM2502','STM4414'
'3HAD141','3HAD120','FACOAE120','3HAD120','ECOAH7','FACOAL141t2pp','STM2378','STM3796','STM3902','STM4483','STM1290','STM4081'
'3HAD161','3HAD120','HACD6i','3HAD120','ECOAH7','CTECOAI6','STM1197','STM3901','STM3795','STM4483','STM3069','STM4081'
'3HAD181','3HAD120','ACACT6r','3HAD120','FACOAL141t2pp','HACD7i','STM0207','STM3902','STM3795','STM4482','STM1290','STM4081'
'3HAD40','3HAD140','AACPS1','3HAD120','FACOAL141t2pp','ACACT7r','STM1196','STM1883','STM0974','STM4482','STM3069','STM4081'
'3HAD60','3HAD140','FACOAE140','3HAD120','HACD7i','CTECOAI6','s0001','STM1883','STM2500','STM2432','STM2403','STM4221'
'3HAD80','3HAD160','AACPS3','3HAD120','ACACT7r','CTECOAI6','STM3379','STM1883','STM0542','STM2431','STM2403','STM4221'
'3OAR100','3HAD160','FACOAE160','3HAD140','ACOAD6f','ECOAH7','STM3380','STM1712','STM0158','STM1883','STM0154','STM2555'
'3OAR121','3HAD180','AACPS6','3HAD140','ACOAD6f','HACD7i','STM0232','STM0737','STM0738','STM1883','STM0154','STM0977'
'3OAR140','3HAD180','ACOAD8f','3HAD140','ACOAD6f','ACACT7r','STM2366','STM0737','STM0739','STM1883','STM0154','STM3062'
'3OAR141','3HAD180','FACOAE180','3HAD140','ECOAH7','FACOAL141t2pp','STM4122','STM0736','STM0738','STM1883','STM0154','STM4578'
'3OAR161','3HAD180','FACOAL181t2pp','3HAD140','ECOAH7','CTECOAI6','STM2992','STM0736','STM0739','STM1883','STM2555','STM3055'
'3OAR181','3HAD180','CTECOAI8','3HAD140','FACOAL141t2pp','HACD7i','STM4120','STM0154','STM0738','STM1883','STM2555','STM3054'
'3OAR40','3OAR120','AACPS7','3HAD140','FACOAL141t2pp','ACACT7r','STM3468','STM0154','STM0739','STM1883','STM2555','STM3053'
'3OAR60','3OAR120','ECOAH6','3HAD140','HACD7i','CTECOAI6','STM1198','STM0380','STM0130','STM1883','STM1290','STM4081'
'3OAR80','3OAR120','FACOAE120','3HAD140','ACACT7r','CTECOAI6','STM3469','STM1802','STM4247','STM1883','STM3055','STM0977'
'3OAS100','3OAR120','HACD6i','3HAD160','ACOAD7f','ECOAH8','STM1824','STM2555','STM0977','STM1883','STM3055','STM3062'
'3OAS121','3OAR120','ACACT6r','3HAD160','ACOAD7f','FACOAL181t2pp','STM0488','STM2555','STM3062','STM1883','STM3055','STM4578'
'3OAS140','3OAR160','AACPS3','3HAD160','ACOAD7f','HACD8i','STM0165','STM2555','STM4578','STM1883','STM3054','STM0977'
'3OAS141','3OAR160','FACOAE160','3HAD160','ACOAD7f','ACACT8r','STM2933','STM0680','STM3877','STM1883','STM3054','STM3062'
'3OAS161','3OAR180','AACPS6','3HAD160','ACOAD7f','CTECOAI8','STM1232','STM0002','STM4101','STM1883','STM3054','STM4578'
'3OAS181','3OAR180','ACOAD8f','3HAD160','ECOAH8','FACOAL161t2pp','STM4366','STM3865','STM1290','STM1883','STM3053','STM0977'
'3OAS60','3OAR180','FACOAE180','3HAD160','ECOAH8','CTECOAI7','STM3710','STM3865','STM3069','STM1883','STM3053','STM3062'
'3OAS80','3OAR180','FACOAL181t2pp','3HAD160','FACOAL161t2pp','FACOAL181t2pp','STM3173','STM3866','STM1290','STM1883','STM3053','STM4578'
'A5PISO','3OAR180','CTECOAI8','3HAD160','FACOAL161t2pp','HACD8i','STM4121','STM3866','STM3069','STM1883','STM3069','STM4081'
'ACCOAC','3OAS120','AACPS7','3HAD160','FACOAL161t2pp','ACACT8r','STM4176','STM3870','STM1290','STM0158','STM1290','STM4081'
'ACGK','3OAS120','ECOAH6','3HAD160','FACOAL161t2pp','CTECOAI8','STM0533','STM3870','STM3069','STM0158','STM3069','STM4081'
'ACGS','3OAS120','FACOAE120','3HAD160','FACOAL181t2pp','CTECOAI7','STM0534','STM3868','STM1290','STM3747','STM0483','STM4570'
'ACHBS','3OAS120','HACD6i','3HAD160','HACD8i','CTECOAI7','STM1724','STM3868','STM3069','STM3078','STM0701','STM3114'
'ACLS','3OAS120','ACACT6r','3HAD160','CTECOAI7','ACACT8r','STM1723','STM3864','STM1290','STM0154','STM2555','STM2500'
'ACODA','3OAS160','AACPS3','3HAD160','CTECOAI7','CTECOAI8','STM0416','STM3864','STM3069','STM0154','STM2555','STM0542'
'ACONTa','3OAS160','FACOAE160','3OAR120','ACOAD6f','FACOAL141t2pp','STM4123','STM3871','STM1290','STM0154','STM2500','STM0977'
'ACONTb','3OAS180','AACPS6','3OAR120','ACOAD6f','CTECOAI6','STM3539','STM3871','STM3069','STM0154','STM2500','STM3062'
'ACOTA','3OAS180','ACOAD8f','3OAR120','ECOAH7','FACOAL141t2pp','STM0180','STM3869','STM1290','STM0154','STM2500','STM4578'
'ADCL','3OAS180','FACOAE180','3OAR120','ECOAH7','CTECOAI6','STM4459','STM3869','STM3069','STM0154','STM0542','STM0977'
'ADCS','3OAS180','FACOAL181t2pp','3OAR120','FACOAL141t2pp','HACD7i','STM4460','STM3867','STM1290','STM0154','STM0542','STM3062'
'ADMDC','3OAS180','CTECOAI8','3OAR120','FACOAL141t2pp','ACACT7r','STM2641','STM3867','STM3069','STM0154','STM0542','STM4578'
'ADSK','ADK1','ADK3','3OAR120','HACD7i','CTECOAI6','STM0998','STM0812','STM1739','STM2555','STM0934','STM3709'
'ADSL1r','ADK1','NDPK1','3OAR120','ACACT7r','CTECOAI6','STM2071','STM0203','STM1490','STM2555','STM0934','STM3708'
'ADSL2r','ADK3','NDPK1','3OAR160','ACOAD7f','ECOAH8','STM3314','STM2440','STM2430','STM2555','STM2500','STM3055'
'ADSS','AGMT','ORNDC','3OAR160','ACOAD7f','FACOAL181t2pp','STM3190','STM0980','STM0218','STM2555','STM2500','STM3054'
'AGMHE','AKGDH','SUCOAS','3OAR160','ACOAD7f','HACD8i','STM2384','STM0137','STM1900','STM2555','STM2500','STM3053'
'AGPAT140','ASNS1','ASNS2','3OAR160','ACOAD7f','ACACT8r','STM0984','STM3692','STM1620','STM2555','STM3055','STM0542'
'AGPAT160','ATPS4rpp','GAPD','3OAR160','ACOAD7f','CTECOAI8','STM0730','STM2948','STM2548','STM2555','STM3054','STM0542'
'AGPAT161','ATPS4rpp','PGK','3OAR160','ECOAH8','FACOAL161t2pp','STM2953','STM2948','STM2549','STM2555','STM3053','STM0542'
'AGPAT180','CBPS','CBMKr','3OAR160','ECOAH8','CTECOAI7','STM3013','STM2948','STM2550','STM3865','STM2952','STM1299'
'AGPAT181','CLPNH140pp','PA140abcpp','3OAR160','FACOAL161t2pp','FACOAL181t2pp','STM3947','STM2947','STM2548','STM3865','STM2952','STM0977'
'AGPR','CLPNH160pp','PA160abcpp','3OAR160','FACOAL161t2pp','HACD8i','STM0222','STM2947','STM2549','STM3865','STM2952','STM3062'
'AHCYSNS','CLPNH161pp','PA161abcpp','3OAR160','FACOAL161t2pp','ACACT8r','STM3195','STM2947','STM2550','STM3865','STM2952','STM4578'
'AICART','CLPNH180pp','PA180abcpp','3OAR160','FACOAL161t2pp','CTECOAI8','STM3740','STM2095','STM3923','STM3866','STM2952','STM1299'
'AIRC2','CLPNH181pp','PA181abcpp','3OAR160','FACOAL181t2pp','CTECOAI7','STM3904','STM2500','STM0542','STM3866','STM2952','STM0977'
'AIRC3','DHORD2','DHORD5','3OAR160','HACD8i','CTECOAI7','STM0064','STM1299','STM3331','STM3866','STM2952','STM3062'
