A,B,C,D,E,F,G,H,I,J,K,L
'ACCOAC','ACACT1r','ACACT2r','ACONT','FMNRx2','FTHFLi','SA_RS07640','SA_RS08095','SA_RS07690','SA_RS01960','SA_RS03095','SA_RS01310'
'ACGK','ACACT1r','ACACT3r','ACONT','FMNRx2','GCCa','SA_RS07635','SA_RS08090','SA_RS07685','SA_RS06730','SA_RS04650','SA_RS07730'
'ACHBS','ACACT1r','ACACT4r','ACONT','FMNRx2','GCCb','SA_RS08570','SA_RS11560','SA_RS10675','SA_RS06730','SA_RS04650','SA_RS07725'
'ACLS','ACACT1r','ACACT5r','ACONT','FMNRx2','GCCc','SA_RS08575','SA_RS08630','SA_RS08765','SA_RS06730','SA_RS04650','SA_RS04330'
'ACOTA','ACACT1r','ACACT6r','ACONT','FMNRx2','GHMT2r','SA_RS01055','SA_RS08630','SA_RS13745','SA_RS06730','SA_RS04650','SA_RS07735'
'ADCL','ACACT1r','ACACT7r','ACONT','FMNRx2','MTHFC','SA_RS01060','SA_RS08765','SA_RS03155','SA_RS06730','SA_RS04650','SA_RS11015'
'ADCS','ACACT1r','ACOAD1','ACONT','FMNRx2','MTHFD','SA_RS10680','SA_RS13745','SA_RS03155','SA_RS06730','SA_RS04650','SA_RS08760'
'ADK1','ACACT1r','ACOAD2','ACONT','FMNRx','FTHFLi','SA_RS04780','SA_RS13880','SA_RS07445','SA_RS11290','SA_RS10960','SA_RS01095'
'ADKd','ACACT1r','ACOAD3','ACONT','FMNRx','GCCa','SA_RS01070','SA_RS06990','SA_RS10785','SA_RS11290','SA_RS10960','SA_RS07120'
'ADMDC','ACACT1r','ACOAD4','ACONT','FMNRx','GCCb','SA_RS03815','SA_RS06825','SA_RS03805','SA_RS11290','SA_RS10960','SA_RS08565'
'ADPT','ACACT1r','ACOAD5','ACONT','FMNRx','GCCc','SA_RS03810','SA_RS13920','SA_RS04670','SA_RS11290','SA_RS10960','SA_RS04680'
'ADSK','ACACT1r','ACOAD6','ACONT','FMNRx','GHMT2r','SA_RS11660','SA_RS13920','SA_RS04675','SA_RS11290','SA_RS10960','SA_RS04145'
'ADSL1r','ACACT1r','ACOAD7','ACONT','FMNRx','MTHFC','SA_RS08235','SA_RS06605','SA_RS06960','SA_RS11290','SA_RS10990','SA_RS01095'
'ADSL2r','ACACT1r','ECOAH1','ACONT','FMNRx','MTHFD','SA_RS14065','SA_RS10880','SA_RS06560','SA_RS11290','SA_RS10990','SA_RS07120'
'ADSS','ACACT1r','ECOAH2','ARGDr','EX_h2o_e','GLUSx','SA_RS09895','SA_RS02385','SA_RS02710','SA_RS11290','SA_RS10990','SA_RS08565'
'AGPR','ACACT1r','ECOAH3','ARGDr','GLUSx','H2Ot','SA_RS00225','SA_RS06995','SA_RS00750','SA_RS11290','SA_RS10990','SA_RS04680'
'AICART','ACACT1r','ECOAH4','ARGN','ATPS4r','EX_glc__D_e','SA_RS01065','SA_RS08000','SA_RS06240','SA_RS11290','SA_RS10990','SA_RS04145'
'AIRC2','ACACT1r','ECOAH5','ARGN','ATPS4r','FBA','SA_RS08050','SA_RS04160','SA_RS01095','SA_RS11290','SA_RS10975','SA_RS01095'
'AIRC3','ACACT1r','ECOAH6','ARGN','ATPS4r','GAPD','SA_RS05240','SA_RS04160','SA_RS07120','SA_RS11290','SA_RS10975','SA_RS07120'
'AKGDa','ACACT1r','ECOAH7','ARGN','ATPS4r','GLCpts','SA_RS05200','SA_RS04160','SA_RS08565','SA_RS11290','SA_RS10975','SA_RS08565'
'AKGDb','ACACT1r','FACOAL160','ARGN','ATPS4r','PFK','SA_RS05195','SA_RS04160','SA_RS04680','SA_RS11290','SA_RS10975','SA_RS04680'
'ALAR','ACACT1r','HACD1','ARGN','ATPS4r','PGI','SA_RS07065','SA_RS04160','SA_RS04145','SA_RS11290','SA_RS10975','SA_RS04145'
'ALATA_D','ACACT1r','HACD2','ARGN','ATPS4r','PGK','SA_RS07060','SA_RS04160','SA_RS09060','SA_RS11290','SA_RS10995','SA_RS01095'
'ANPRT','ACACT1r','HACD3','ARGN','EX_glc__D_e','EX_h2o_e','SA_RS08860','SA_RS13210','SA_RS01095','SA_RS11290','SA_RS10995','SA_RS07120'
'ANS','ACACT1r','HACD4','ARGN','EX_glc__D_e','FMNRx2','SA_RS06830','SA_RS13210','SA_RS07120','SA_RS11290','SA_RS10995','SA_RS08565'
'APRAUR','ACACT1r','HACD5','ARGN','EX_glc__D_e','FMNRx','SA_RS06820','SA_RS13210','SA_RS04680','SA_RS11290','SA_RS10995','SA_RS04680'
'ASAD','ACACT1r','HACD6','ARGN','EX_glc__D_e','GHMT2r','SA_RS08940','SA_RS13395','SA_RS13570','SA_RS11290','SA_RS10995','SA_RS04145'
'ASNS1','ACACT1r','HACD7','ARGN','EX_glc__D_e','H2Ot','SA_RS08950','SA_RS08395','SA_RS09645','SA_RS11290','SA_RS10970','SA_RS01095'
'ASPK','ACKr','ACS','ARGN','EX_glc__D_e','HCYSMT','SA_RS02530','SA_RS07730','SA_RS01275','SA_RS11290','SA_RS10970','SA_RS07120'
'ASPTA','AKP1','DNMPPA','ARGN','EX_glc__D_e','MTHFC','SA_RS06965','SA_RS07725','SA_RS01275','SA_RS11290','SA_RS10970','SA_RS08565'
'ATPPRT','AKP1','DNTPPA','ARGN','EX_glc__D_e','MTHFD','SA_RS05225','SA_RS04330','SA_RS01275','SA_RS11290','SA_RS10970','SA_RS04680'
'BPNT','ARGDr','ARGSL','ARGN','EX_glc__D_e','TALA','SA_RS10050','SA_RS07735','SA_RS01275','SA_RS11290','SA_RS10970','SA_RS04145'
'CHORM','ARGDr','ARGSS','ARGN','EX_glc__D_e','TKT1','SA_RS14145','SA_RS05365','SA_RS07645','SA_RS11290','SA_RS10985','SA_RS01095'
'CHORS','CBMKr','CBPS','ARGN','EX_h2o_e','FBA','SA_RS13765','SA_RS11015','SA_RS06550','SA_RS11290','SA_RS10985','SA_RS07120'
'CLPNS_SA','CYTDK2','CTPS1','ARGN','EX_h2o_e','GAPD','SA_RS08790','SA_RS01095','SA_RS04680','SA_RS11290','SA_RS10985','SA_RS08565'
'CO2t','CYTK2','DCMPDA','ARGN','EX_h2o_e','GLCpts','SA_RS07350','SA_RS01095','SA_RS04145','SA_RS11290','SA_RS10985','SA_RS04680'
'CPPPGO','DKMPPD2','DKMPPD','ARGN','EX_h2o_e','GLUSx','SA_RS07970','SA_RS01095','SA_RS09060','SA_RS11290','SA_RS10985','SA_RS04145'
'CSNt2','ENO','PPCK','ARGN','EX_h2o_e','PC','SA_RS01980','SA_RS01095','SA_RS04150','SA_RS11290','SA_RS10965','SA_RS01095'
'CYSS','EX_glc__D_e','FBP','ARGN','EX_h2o_e','PFK','SA_RS05315','SA_RS07120','SA_RS04680','SA_RS11290','SA_RS10965','SA_RS07120'
'CYSTL','EX_glc__D_e','PPCK','ARGN','EX_h2o_e','PGI','SA_RS05160','SA_RS07120','SA_RS04145','SA_RS11290','SA_RS10965','SA_RS08565'
