#node	identifier	category	term ID	term description
SDY_0837	300267.SDY_0837	GO Process	GO:0008152	Metabolic process
SDY_0837	300267.SDY_0837	GO Process	GO:0055114	Oxidation-reduction process
SDY_0837	300267.SDY_0837	GO Function	GO:0003824	Catalytic activity
SDY_0837	300267.SDY_0837	GO Function	GO:0005488	Binding
SDY_0837	300267.SDY_0837	GO Function	GO:0005509	Calcium ion binding
SDY_0837	300267.SDY_0837	GO Function	GO:0016491	Oxidoreductase activity
SDY_0837	300267.SDY_0837	GO Function	GO:0016614	Oxidoreductase activity, acting on ch-oh group of donors
SDY_0837	300267.SDY_0837	GO Function	GO:0016901	Oxidoreductase activity, acting on the ch-oh group of donors, quinone or similar compound as acceptor
SDY_0837	300267.SDY_0837	GO Function	GO:0031406	Carboxylic acid binding
SDY_0837	300267.SDY_0837	GO Function	GO:0036094	Small molecule binding
SDY_0837	300267.SDY_0837	GO Function	GO:0043167	Ion binding
SDY_0837	300267.SDY_0837	GO Function	GO:0043168	Anion binding
SDY_0837	300267.SDY_0837	GO Function	GO:0043169	Cation binding
SDY_0837	300267.SDY_0837	GO Function	GO:0043177	Organic acid binding
SDY_0837	300267.SDY_0837	GO Function	GO:0046872	Metal ion binding
SDY_0837	300267.SDY_0837	GO Function	GO:0048038	Quinone binding
SDY_0837	300267.SDY_0837	GO Function	GO:0097159	Organic cyclic compound binding
SDY_0837	300267.SDY_0837	GO Function	GO:1901363	Heterocyclic compound binding
SDY_0837	300267.SDY_0837	GO Component	GO:0009279	Cell outer membrane
SDY_0837	300267.SDY_0837	GO Component	GO:0016020	Membrane
SDY_0837	300267.SDY_0837	GO Component	GO:0019867	Outer membrane
SDY_0837	300267.SDY_0837	GO Component	GO:0030288	Outer membrane-bounded periplasmic space
SDY_0837	300267.SDY_0837	GO Component	GO:0030312	External encapsulating structure
SDY_0837	300267.SDY_0837	GO Component	GO:0030313	Cell envelope
SDY_0837	300267.SDY_0837	GO Component	GO:0031975	Envelope
SDY_0837	300267.SDY_0837	GO Component	GO:0042597	Periplasmic space
SDY_0837	300267.SDY_0837	GO Component	GO:0071944	Cell periphery
SDY_0837	300267.SDY_0837	GO Component	GO:0110165	Cellular anatomical entity
SDY_0837	300267.SDY_0837	STRING clusters	CL:2637	Mixed, incl. cellular detoxification, and glutathione metabolism
SDY_0837	300267.SDY_0837	STRING clusters	CL:2638	Cellular detoxification, and glutathione metabolism
SDY_0837	300267.SDY_0837	STRING clusters	CL:2702	Mixed, incl. methylglyoxal catabolic process to d-lactate via s-lactoyl-glutathione, and cellular response to aldehyde
SDY_0837	300267.SDY_0837	UniProt Keywords	KW-0732	Signal
SDY_1564	300267.SDY_1564	GO Process	GO:0006810	Transport
SDY_1564	300267.SDY_1564	GO Process	GO:0006811	Ion transport
SDY_1564	300267.SDY_1564	GO Process	GO:0006820	Anion transport
SDY_1564	300267.SDY_1564	GO Process	GO:0006821	Chloride transport
SDY_1564	300267.SDY_1564	GO Process	GO:0009268	Response to ph
SDY_1564	300267.SDY_1564	GO Process	GO:0009628	Response to abiotic stimulus
SDY_1564	300267.SDY_1564	GO Process	GO:0009987	Cellular process
SDY_1564	300267.SDY_1564	GO Process	GO:0010447	Response to acidic ph
SDY_1564	300267.SDY_1564	GO Process	GO:0015698	Inorganic anion transport
SDY_1564	300267.SDY_1564	GO Process	GO:0032879	Regulation of localization
SDY_1564	300267.SDY_1564	GO Process	GO:0034220	Ion transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0034762	Regulation of transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0034765	Regulation of ion transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0043269	Regulation of ion transport
SDY_1564	300267.SDY_1564	GO Process	GO:0050789	Regulation of biological process
SDY_1564	300267.SDY_1564	GO Process	GO:0050794	Regulation of cellular process
SDY_1564	300267.SDY_1564	GO Process	GO:0050896	Response to stimulus
SDY_1564	300267.SDY_1564	GO Process	GO:0051049	Regulation of transport
SDY_1564	300267.SDY_1564	GO Process	GO:0051179	Localization
SDY_1564	300267.SDY_1564	GO Process	GO:0051234	Establishment of localization
SDY_1564	300267.SDY_1564	GO Process	GO:0055085	Transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0065007	Biological regulation
SDY_1564	300267.SDY_1564	GO Process	GO:0098656	Anion transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0098660	Inorganic ion transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:0098661	Inorganic anion transmembrane transport
SDY_1564	300267.SDY_1564	GO Process	GO:1902476	Chloride transmembrane transport
SDY_1564	300267.SDY_1564	GO Function	GO:0005215	Transporter activity
