,gene_id,uniprot,interpro,goa
0,EC55989_1003,,"IPR010083,IPR013114,IPR029069",B7LE54
1,EC55989_4321,,"IPR001753,IPR006108,IPR006176,IPR006180,IPR008927,IPR012799,IPR013328,IPR016040,IPR018376,IPR029045",B7L9A7
2,EC55989_0466,B7L690,"IPR003703,IPR025652,IPR029069",B7L690
3,EC55989_2970,B7LEB9,"IPR000644,IPR001347,IPR004800",B7LEB9
4,EC55989_0075,B7LFU9,"IPR002912,IPR004789,IPR019455",B7LFU9
5,EC55989_0074,B7LFU8,"IPR000399,IPR011766,IPR012000,IPR012001,IPR012846,IPR029035,IPR029061",B7LFU8
6,EC55989_0075,B7LFU9,"IPR002912,IPR004789,IPR019455",B7LFU9
7,EC55989_0074,B7LFU8,"IPR000399,IPR011766,IPR012000,IPR012001,IPR012846,IPR029035,IPR029061",B7LFU8
8,EC55989_2785,B7LCP0,"IPR001555,IPR002376,IPR004607",B7LCP0
9,EC55989_0111,B7LFY5,"IPR001030,IPR004406,IPR015928,IPR015929,IPR015931,IPR015932,IPR015933,IPR015937,IPR018136",B7LFY5
10,EC55989_4533,,"IPR002123,IPR022284,IPR028354",B7LAY9
11,EC55989_2803,,"IPR001564,IPR023005",B7LDB0
12,EC55989_1303,B7LGW8,"IPR000842,IPR005946,IPR029057,IPR029099",B7LGW8
13,EC55989_4585,B7LB37,"IPR008145,IPR012699,IPR027417",B7LB37
14,EC55989_0386,B7L532,"IPR000291,IPR005905,IPR011095,IPR011127,IPR011761,IPR013815,IPR013816,IPR016185",B7L532
15,EC55989_4546,B7LB01,"IPR000821,IPR001608,IPR009006,IPR011079,IPR020622,IPR029066",B7LB01
16,EC55989_3200,B7LFG7,"IPR002912,IPR006139,IPR006140,IPR016040,IPR029015,IPR029752,IPR029753",B7LFG7
17,EC55989_5050,B7LEN4,"IPR004469,IPR006383,IPR023190,IPR023214",B7LEN4
18,EC55989_4533,,"IPR002123,IPR022284,IPR028354",B7LAY9
19,EC55989_4219,,"IPR004618,IPR006195",B7L891
20,EC55989_4422,B7LA41,"IPR001048,IPR001341,IPR001342,IPR005106,IPR011147,IPR016040,IPR018042,IPR019811",B7LA41
21,EC55989_0149,,"IPR001807,IPR014743,IPR023861",B7LGL7
22,EC55989_4342,B7L9C1,"IPR004558,IPR006638,IPR007197,IPR010723,IPR023404",B7L9C1
23,EC55989_1789,B7L5H4,"IPR004839,IPR015421,IPR015422,IPR015424,IPR027619",B7L5H4
24,EC55989_2710,B7LCG5,"IPR001216,IPR001926,IPR005856,IPR005858",B7LCG5
25,EC55989_0165,B7LGN2,"IPR001048,IPR011817,IPR015963",B7LGN2
26,EC55989_3388,B7LGB8,"IPR006094,IPR016164,IPR016166,IPR016169,IPR016171",B7LGB8
27,EC55989_3387,B7LGB7,"IPR004017,IPR012257,IPR017896,IPR017900",B7LGB7
28,EC55989_3389,B7LGB9,"IPR004113,IPR004490,IPR006094,IPR016164,IPR016166,IPR016167,IPR016169,IPR016171",B7LGB9
29,EC55989_0048,B7L4H1,"IPR001796,IPR012259,IPR017925,IPR024072",B7L4H1
30,EC55989_2044,B7L7R8,"IPR000086,IPR003564,IPR015797,IPR020084",B7L7R8
31,EC55989_3215,,"IPR006422,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",B7LFI3
32,EC55989_4345,B7L9C4,"IPR001637,IPR004809,IPR008146,IPR008147,IPR014746,IPR027302,IPR027303",B7L9C4
33,EC55989_3630,B7LHS5,"IPR000583,IPR002489,IPR002932,IPR006982,IPR013785,IPR017932,IPR029055",B7LHS5
34,EC55989_3631,B7LHS6,"IPR001327,IPR006006,IPR009051,IPR016040,IPR017896,IPR028261",B7LHS6
35,EC55989_3791,B7L4R3,"IPR000056,IPR011060,IPR013785,IPR026019",B7L4R3
36,EC55989_0933,B7LD80,"IPR000103,IPR001327,IPR005982,IPR008255,IPR013027,IPR023753",B7LD80
37,EC55989_2793,B7LCP8,"IPR000644,IPR001093,IPR005990,IPR013785,IPR015875",B7LCP8
38,EC55989_0119,B7LGI8,"IPR001765,IPR015892",B7LGI8
39,EC55989_2793,B7LCP8,"IPR000644,IPR001093,IPR005990,IPR013785,IPR015875",B7LCP8
40,EC55989_2793,B7LCP8,"IPR000644,IPR001093,IPR005990,IPR013785,IPR015875",B7LCP8
41,EC55989_2793,B7LCP8,"IPR000644,IPR001093,IPR005990,IPR013785,IPR015875",B7LCP8
42,EC55989_1846,,"IPR003808,IPR023939",B7L5N1
43,EC55989_1850,B7L5N5,"IPR000825,IPR010231",B7L5N5
44,EC55989_1849,B7L5N4,"IPR003439,IPR003593,IPR010230,IPR017871,IPR027417",B7L5N4
45,EC55989_1847,,"IPR000192,IPR010970,IPR015421,IPR015422,IPR015424,IPR020578",B7L5N2
46,EC55989_1848,B7L5N3,"IPR000825,IPR011542",B7L5N3
47,EC55989_1851,B7L5N6,"IPR000361,IPR011298,IPR016092,IPR017870",B7L5N6
48,EC55989_1846,,"IPR003808,IPR023939",B7L5N1
49,EC55989_1850,B7L5N5,"IPR000825,IPR010231",B7L5N5
50,EC55989_1849,B7L5N4,"IPR003439,IPR003593,IPR010230,IPR017871,IPR027417",B7L5N4
51,EC55989_1847,,"IPR000192,IPR010970,IPR015421,IPR015422,IPR015424,IPR020578",B7L5N2
52,EC55989_1848,B7L5N3,"IPR000825,IPR011542",B7L5N3
53,EC55989_1851,B7L5N6,"IPR000361,IPR011298,IPR016092,IPR017870",B7L5N6
54,EC55989_4504,B7LAW1,"IPR000489,IPR003726,IPR003759,IPR004223,IPR006158,IPR011005,IPR011822",B7LAW1
55,EC55989_2711,B7LCG6,"IPR003439,IPR003593,IPR005666,IPR008995,IPR014769,IPR017871,IPR024765,IPR027417",B7LCG6
56,EC55989_2713,B7LCG8,"IPR000515,IPR005667,IPR011865",B7LCG8
57,EC55989_2712,B7LCG7,"IPR000515,IPR005667,IPR011866",B7LCG7
58,EC55989_2711,B7LCG6,"IPR003439,IPR003593,IPR005666,IPR008995,IPR014769,IPR017871,IPR024765,IPR027417",B7LCG6
59,EC55989_2713,B7LCG8,"IPR000515,IPR005667,IPR011865",B7LCG8
60,EC55989_2712,B7LCG7,"IPR000515,IPR005667,IPR011866",B7LCG7
61,EC55989_2711,B7LCG6,"IPR003439,IPR003593,IPR005666,IPR008995,IPR014769,IPR017871,IPR024765,IPR027417",B7LCG6
62,EC55989_2713,B7LCG8,"IPR000515,IPR005667,IPR011865",B7LCG8
63,EC55989_2712,B7LCG7,"IPR000515,IPR005667,IPR011866",B7LCG7
64,EC55989_4197,B7L872,"IPR000515,IPR005672",B7L872
65,EC55989_4196,B7L868,"IPR003439,IPR003593,IPR005670,IPR015850,IPR017871,IPR027417",B7L868
66,EC55989_4198,B7L873,"IPR000515,IPR011864",B7L873
67,EC55989_4199,B7L874,"IPR005673,IPR024370",B7L874
68,EC55989_4585,B7LB37,"IPR008145,IPR012699,IPR027417",B7LB37
69,EC55989_3698,,"IPR006151,IPR011342,IPR013708,IPR016040,IPR022893",B7LHX9
70,EC55989_3202,,"IPR004788,IPR020672",B7LFH2
71,EC55989_0397,,"IPR000623,IPR023000,IPR027417,IPR027544",B7L543
72,EC55989_3534,B7LH54,"IPR000634,IPR001926,IPR005789",B7LH54
