#node	identifier	category	term ID	term description
ECP_0002	362663.ECP_0002	GO Process	GO:0006082	Organic acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006520	Cellular amino acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006553	Lysine metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006566	Threonine metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006793	Phosphorus metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006796	Phosphate-containing compound metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0006807	Nitrogen compound metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0008152	Metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0008652	Cellular amino acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009058	Biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009066	Aspartate family amino acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009067	Aspartate family amino acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009069	Serine family amino acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009070	Serine family amino acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009085	Lysine biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009088	Threonine biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009089	Lysine biosynthetic process via diaminopimelate
ECP_0002	362663.ECP_0002	GO Process	GO:0009090	Homoserine biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009092	Homoserine metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0009987	Cellular process
ECP_0002	362663.ECP_0002	GO Process	GO:0016053	Organic acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0016310	Phosphorylation
ECP_0002	362663.ECP_0002	GO Process	GO:0019752	Carboxylic acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0043436	Oxoacid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0043648	Dicarboxylic acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0044237	Cellular metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0044238	Primary metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0044249	Cellular biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0044281	Small molecule metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0044283	Small molecule biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0046394	Carboxylic acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:0046451	Diaminopimelate metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:0055114	Oxidation-reduction process
ECP_0002	362663.ECP_0002	GO Process	GO:0071704	Organic substance metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:1901564	Organonitrogen compound metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:1901566	Organonitrogen compound biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:1901576	Organic substance biosynthetic process
ECP_0002	362663.ECP_0002	GO Process	GO:1901605	Alpha-amino acid metabolic process
ECP_0002	362663.ECP_0002	GO Process	GO:1901607	Alpha-amino acid biosynthetic process
ECP_0002	362663.ECP_0002	GO Function	GO:0000166	Nucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0003824	Catalytic activity
ECP_0002	362663.ECP_0002	GO Function	GO:0004072	Aspartate kinase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0004412	Homoserine dehydrogenase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0005488	Binding
ECP_0002	362663.ECP_0002	GO Function	GO:0005524	ATP binding
ECP_0002	362663.ECP_0002	GO Function	GO:0016301	Kinase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0016491	Oxidoreductase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0016614	Oxidoreductase activity, acting on ch-oh group of donors
ECP_0002	362663.ECP_0002	GO Function	GO:0016616	Oxidoreductase activity, acting on the ch-oh group of donors, nad or nadp as acceptor
ECP_0002	362663.ECP_0002	GO Function	GO:0016740	Transferase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0016772	Transferase activity, transferring phosphorus-containing groups
ECP_0002	362663.ECP_0002	GO Function	GO:0016774	Phosphotransferase activity, carboxyl group as acceptor
ECP_0002	362663.ECP_0002	GO Function	GO:0017076	Purine nucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0019202	Amino acid kinase activity
ECP_0002	362663.ECP_0002	GO Function	GO:0030554	Adenyl nucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0032553	Ribonucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0032555	Purine ribonucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0032559	Adenyl ribonucleotide binding
ECP_0002	362663.ECP_0002	GO Function	GO:0035639	Purine ribonucleoside triphosphate binding
ECP_0002	362663.ECP_0002	GO Function	GO:0036094	Small molecule binding
ECP_0002	362663.ECP_0002	GO Function	GO:0043167	Ion binding
ECP_0002	362663.ECP_0002	GO Function	GO:0043168	Anion binding
ECP_0002	362663.ECP_0002	GO Function	GO:0050661	NADP binding
ECP_0002	362663.ECP_0002	GO Function	GO:0097159	Organic cyclic compound binding
ECP_0002	362663.ECP_0002	GO Function	GO:0097367	Carbohydrate derivative binding
ECP_0002	362663.ECP_0002	GO Function	GO:1901265	Nucleoside phosphate binding
ECP_0002	362663.ECP_0002	GO Function	GO:1901363	Heterocyclic compound binding
ECP_0002	362663.ECP_0002	GO Component	GO:0005622	Intracellular
ECP_0002	362663.ECP_0002	GO Component	GO:0005737	Cytoplasm
ECP_0002	362663.ECP_0002	GO Component	GO:0110165	Cellular anatomical entity
ECP_0002	362663.ECP_0002	STRING clusters	CL:1052	Cellular amino acid biosynthetic process, and nucleoside monophosphate biosynthetic process
ECP_0002	362663.ECP_0002	STRING clusters	CL:1053	Amino-acid biosynthesis, and Pyruvate metabolism
ECP_0002	362663.ECP_0002	STRING clusters	CL:1054	Amino-acid biosynthesis, and folic acid biosynthetic process
ECP_0002	362663.ECP_0002	STRING clusters	CL:1120	Aspartate family amino acid biosynthetic process, and glutamine family amino acid biosynthetic process
ECP_0002	362663.ECP_0002	STRING clusters	CL:1121	Aspartate family amino acid biosynthetic process
ECP_0002	362663.ECP_0002	STRING clusters	CL:1122	Diaminopimelate metabolic process, and homoserine kinase
ECP_0002	362663.ECP_0002	STRING clusters	CL:1134	Threonine biosynthetic process
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0028	Amino-acid biosynthesis
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0067	ATP-binding
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0418	Kinase
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0521	NADP
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0547	Nucleotide-binding
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0560	Oxidoreductase
ECP_0002	362663.ECP_0002	UniProt Keywords	KW-0808	Transferase
ECP_0002	362663.ECP_0002	Pfam	PF00696	Amino acid kinase family
ECP_0002	362663.ECP_0002	Pfam	PF00742	Homoserine dehydrogenase
ECP_0002	362663.ECP_0002	Pfam	PF01842	ACT domain
ECP_0002	362663.ECP_0002	Pfam	PF03447	Homoserine dehydrogenase, NAD binding domain
ECP_0002	362663.ECP_0002	InterPro	IPR001048	Aspartate/glutamate/uridylate kinase
ECP_0002	362663.ECP_0002	InterPro	IPR001341	Aspartate kinase
ECP_0002	362663.ECP_0002	InterPro	IPR001342	Homoserine dehydrogenase, catalytic
ECP_0002	362663.ECP_0002	InterPro	IPR002912	ACT domain
ECP_0002	362663.ECP_0002	InterPro	IPR005106	Aspartate/homoserine dehydrogenase, NAD-binding
ECP_0002	362663.ECP_0002	InterPro	IPR011147	Bifunctional aspartokinase/homoserine dehydrogenase I
ECP_0002	362663.ECP_0002	InterPro	IPR018042	Aspartate kinase, conserved site
ECP_0002	362663.ECP_0002	InterPro	IPR019811	Homoserine dehydrogenase, conserved site
ECP_0002	362663.ECP_0002	InterPro	IPR036291	NAD(P)-binding domain superfamily
ECP_0002	362663.ECP_0002	InterPro	IPR036393	Acetylglutamate kinase-like superfamily
ECP_0002	362663.ECP_0002	InterPro	IPR041743	Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain
ECP_0004	362663.ECP_0004	GO Process	GO:0006082	Organic acid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0006520	Cellular amino acid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0006566	Threonine metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0006807	Nitrogen compound metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0008152	Metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0008652	Cellular amino acid biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0009058	Biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0009066	Aspartate family amino acid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0009067	Aspartate family amino acid biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0009088	Threonine biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0009987	Cellular process
ECP_0004	362663.ECP_0004	GO Process	GO:0016053	Organic acid biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0019752	Carboxylic acid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0043436	Oxoacid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0044237	Cellular metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0044238	Primary metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0044249	Cellular biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0044281	Small molecule metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:0044283	Small molecule biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0046394	Carboxylic acid biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:0071704	Organic substance metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:1901564	Organonitrogen compound metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:1901566	Organonitrogen compound biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:1901576	Organic substance biosynthetic process
ECP_0004	362663.ECP_0004	GO Process	GO:1901605	Alpha-amino acid metabolic process
ECP_0004	362663.ECP_0004	GO Process	GO:1901607	Alpha-amino acid biosynthetic process
ECP_0004	362663.ECP_0004	GO Function	GO:0003824	Catalytic activity
ECP_0004	362663.ECP_0004	GO Function	GO:0005488	Binding
ECP_0004	362663.ECP_0004	GO Function	GO:0016829	Lyase activity
ECP_0004	362663.ECP_0004	GO Function	GO:0016835	Carbon-oxygen lyase activity
ECP_0004	362663.ECP_0004	GO Function	GO:0016838	Carbon-oxygen lyase activity, acting on phosphates
ECP_0004	362663.ECP_0004	GO Function	GO:0019842	Vitamin binding
ECP_0004	362663.ECP_0004	GO Function	GO:0030170	Pyridoxal phosphate binding
ECP_0004	362663.ECP_0004	GO Function	GO:0036094	Small molecule binding
ECP_0004	362663.ECP_0004	GO Function	GO:0043167	Ion binding
ECP_0004	362663.ECP_0004	GO Function	GO:0043168	Anion binding
ECP_0004	362663.ECP_0004	GO Function	GO:0070279	Vitamin b6 binding
ECP_0004	362663.ECP_0004	GO Function	GO:0097159	Organic cyclic compound binding
ECP_0004	362663.ECP_0004	GO Function	GO:1901363	Heterocyclic compound binding
ECP_0004	362663.ECP_0004	GO Component	GO:0005622	Intracellular
ECP_0004	362663.ECP_0004	GO Component	GO:0005737	Cytoplasm
ECP_0004	362663.ECP_0004	GO Component	GO:0005829	Cytosol
ECP_0004	362663.ECP_0004	GO Component	GO:0110165	Cellular anatomical entity
ECP_0004	362663.ECP_0004	STRING clusters	CL:1052	Cellular amino acid biosynthetic process, and nucleoside monophosphate biosynthetic process
ECP_0004	362663.ECP_0004	STRING clusters	CL:1053	Amino-acid biosynthesis, and Pyruvate metabolism
ECP_0004	362663.ECP_0004	STRING clusters	CL:1054	Amino-acid biosynthesis, and folic acid biosynthetic process
ECP_0004	362663.ECP_0004	STRING clusters	CL:1120	Aspartate family amino acid biosynthetic process, and glutamine family amino acid biosynthetic process
ECP_0004	362663.ECP_0004	STRING clusters	CL:1121	Aspartate family amino acid biosynthetic process
ECP_0004	362663.ECP_0004	STRING clusters	CL:1122	Diaminopimelate metabolic process, and homoserine kinase
ECP_0004	362663.ECP_0004	STRING clusters	CL:1134	Threonine biosynthetic process
ECP_0004	362663.ECP_0004	UniProt Keywords	KW-0456	Lyase
ECP_0004	362663.ECP_0004	UniProt Keywords	KW-0663	Pyridoxal phosphate
ECP_0004	362663.ECP_0004	Pfam	PF00291	Pyridoxal-phosphate dependent enzyme
ECP_0004	362663.ECP_0004	InterPro	IPR000634	Serine/threonine dehydratase, pyridoxal-phosphate-binding site
ECP_0004	362663.ECP_0004	InterPro	IPR001926	Pyridoxal-phosphate dependent enzyme
ECP_0004	362663.ECP_0004	InterPro	IPR036052	Tryptophan synthase beta subunit-like PLP-dependent enzyme
ECP_0010	362663.ECP_0010	GO Process	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
ECP_0010	362663.ECP_0010	GO Process	GO:0006793	Phosphorus metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0006796	Phosphate-containing compound metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0006807	Nitrogen compound metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0008152	Metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0009058	Biosynthetic process
ECP_0010	362663.ECP_0010	GO Process	GO:0009987	Cellular process
ECP_0010	362663.ECP_0010	GO Process	GO:0018130	Heterocycle biosynthetic process
ECP_0010	362663.ECP_0010	GO Process	GO:0019538	Protein metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0019637	Organophosphate metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0019720	Mo-molybdopterin cofactor metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0043170	Macromolecule metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0043545	Molybdopterin cofactor metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0044237	Cellular metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0044238	Primary metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0044249	Cellular biosynthetic process
ECP_0010	362663.ECP_0010	GO Process	GO:0044260	Cellular macromolecule metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0044267	Cellular protein metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0046483	Heterocycle metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0051189	Prosthetic group metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0071704	Organic substance metabolic process
ECP_0010	362663.ECP_0010	GO Process	GO:0090407	Organophosphate biosynthetic process
ECP_0010	362663.ECP_0010	GO Process	GO:1901360	Organic cyclic compound metabolic process
