#node	identifier	x_position	y_position	color	annotation
KPN_00075	272620.KPN_00075	0.8292521994134898	0.5021155137676293	rgb(239,123,117)	Shikimate dehydrogenase (NADP(+)); Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA).
KPN_00096	272620.KPN_00096	0.2908357771260997	0.3298522498321021	rgb(117,117,239)	D-alanine--D-alanine ligase; Cell wall formation; Belongs to the D-alanine--D-alanine ligase family. 
KPN_00134	272620.KPN_00134	0.38914956011730206	0.8127938213566152	rgb(117,195,239)	Carbonic anhydrase; Reversible hydration of carbon dioxide. ; Belongs to the beta-class carbonic anhydrase family. 
KPN_00192	272620.KPN_00192	0.300733137829912	0.7009738079247818	rgb(117,239,216)	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase; Catalyzes the N-acylation of UDP-3-O- (hydroxytetradecanoyl)glucosamine using 3-hydroxytetradecanoyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell; Belongs to the transferase hexapeptide repeat family. LpxD subfamily.
KPN_00323	272620.KPN_00323	0.3053519061583578	0.29721289456010747	rgb(117,189,239)	D-alanine--D-alanine ligase; Cell wall formation; Belongs to the D-alanine--D-alanine ligase family. 
KPN_01021	272620.KPN_01021	0.49274193548387096	0.2283075889858966	rgb(117,140,239)	Putative glutamine synthetase
KPN_01125	272620.KPN_01125	0.4755865102639296	0.6846541302887845	rgb(117,239,212)	Ribose-5-phosphate isomerase B
KPN_01127	272620.KPN_01127	0.6510997067448681	0.7414707857622566	rgb(117,239,206)	Transketolase; Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate.
KPN_01197	272620.KPN_01197	0.5706011730205279	0.7118535930154467	rgb(239,117,117)	Glyceraldehyde-3-phosphate dehydrogenase; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
KPN_01221	272620.KPN_01221	0.670234604105572	0.21803223640026864	rgb(117,239,219)	Acetylornithine/succinyldiaminopimelate aminotransferase; Involved in both the arginine and lysine biosynthetic pathways; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family. ArgD subfamily.
KPN_01464	272620.KPN_01464	0.7791055718475074	0.2736400268636669	rgb(239,195,117)	Acetylornithine deacetylase; Putative peptidic bond hydrolase
KPN_01492	272620.KPN_01492	0.6867302052785925	0.3383143049026192	rgb(239,171,117)	Glutamate dehydrogenase; Putative glutamic dehyrogenase-like protein; Belongs to the Glu/Leu/Phe/Val dehydrogenases family. 
