#node	identifier	category	term ID	term description
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006810	Transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006811	Ion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006812	Cation transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006814	Sodium ion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006817	Phosphate ion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0006820	Anion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0009987	Cellular process
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0015672	Monovalent inorganic cation transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0015698	Inorganic anion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0030001	Metal ion transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0034220	Ion transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0035725	Sodium ion transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0051179	Localization
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0051234	Establishment of localization
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0055085	Transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0098655	Cation transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0098660	Inorganic ion transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Process	GO:0098662	Inorganic cation transmembrane transport
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0005215	Transporter activity
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0008324	Cation transmembrane transporter activity
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0015075	Ion transmembrane transporter activity
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0015077	Monovalent inorganic cation transmembrane transporter activity
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0015081	Sodium ion transmembrane transporter activity
ABD29247.1	93061.SAOUHSC_00060	GO Function	GO:0015291	Secondary active transmembrane transporter activity
