,gene_id,uniprot,interpro,goa
0,EC042_3034,D3GST3,"IPR000873,IPR002123,IPR020845,IPR023775",D3GST3
1,EC042_1039,D3H0H6,"IPR010083,IPR013114,IPR029069",D3H0H6
2,EC042_1039,D3H0H6,"IPR010083,IPR013114,IPR029069",D3H0H6
3,EC042_3487,D3GXT6,"IPR000644,IPR001347,IPR004800",D3GXT6
4,EC042_0080,D3H460,"IPR002912,IPR004789,IPR019455",D3H460
5,EC042_0080,D3H460,"IPR002912,IPR004789,IPR019455",D3H460
6,EC042_0079,D3H459,"IPR000399,IPR011766,IPR012000,IPR012001,IPR012846,IPR029035,IPR029061",D3H459
7,EC042_0079,D3H459,"IPR000399,IPR011766,IPR012000,IPR012001,IPR012846,IPR029035,IPR029061",D3H459
8,EC042_2016,D3GWI3,"IPR003135,IPR005862,IPR011054,IPR011761,IPR013815,IPR013816,IPR016185",D3GWI3
9,EC042_0117,D3H496,"IPR001030,IPR004406,IPR015928,IPR015929,IPR015931,IPR015932,IPR015933,IPR015937,IPR018136",D3H496
10,EC042_1160,D3H194,"IPR003664,IPR012281,IPR024084",D3H194
11,EC042_0512,D3GVA3,"IPR000850,IPR006259,IPR007862,IPR027417",D3GVA3
12,EC042_0512,D3GVA3,"IPR000850,IPR006259,IPR007862,IPR027417",D3GVA3
13,EC042_0512,D3GVA3,"IPR000850,IPR006259,IPR007862,IPR027417",D3GVA3
14,EC042_0413,D3GU73,"IPR000291,IPR005905,IPR011095,IPR011127,IPR011761,IPR013815,IPR013816,IPR016185",D3GU73
15,EC042_4421,D3GT33,"IPR000821,IPR001608,IPR009006,IPR011079,IPR020622,IPR029066",D3GT33
16,EC042_2755,D3H3R1,"IPR001085,IPR015421,IPR015422,IPR015424,IPR019798",D3H3R1
17,EC042_2755,D3H3R1,"IPR001085,IPR015421,IPR015422,IPR015424,IPR019798",D3H3R1
18,EC042_3353,D3GWM7,IPR003811,D3GWM7
19,EC042_0702,D3GXC6,"IPR000583,IPR001962,IPR006426,IPR014729,IPR017932,IPR029055",D3GXC6
20,EC042_4314,D3GRZ6,"IPR001048,IPR001341,IPR001342,IPR005106,IPR011147,IPR016040,IPR018042,IPR019811",D3GRZ6
21,EC042_0155,D3GRA2,"IPR001807,IPR014743,IPR023861",D3GRA2
22,EC042_2644,D3H2T6,"IPR001260,IPR018375",D3H2T6
23,EC042_3297,D3GVR5,"IPR000277,IPR006233,IPR015421,IPR015422,IPR015424",D3GVR5
24,EC042_2623,D3H265,"IPR001216,IPR001926,IPR005856,IPR005859",D3H265
25,EC042_1000,D3H0D9,"IPR003136,IPR011994,IPR027417",D3H0D9
26,EC042_3257,D3GVM6,IPR003804,D3GVM6
27,EC042_3257,D3GVM6,IPR003804,D3GVM6
28,EC042_3257,D3GVM6,IPR003804,D3GVM6
29,EC042_0050,D3H430,"IPR001796,IPR012259,IPR017925,IPR024072",D3H430
30,EC042_2032,D3GWJ9,"IPR000086,IPR003564,IPR015797,IPR020084",D3GWJ9
31,EC042_3136,D3GTT9,"IPR006422,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GTT9
32,EC042_1425,D3H3K4,"IPR008146,IPR008147,IPR014746,IPR027303",D3H3K4
33,EC042_1926,D3GVH4,"IPR006095,IPR006096,IPR006097,IPR014362,IPR016040",D3GVH4
34,EC042_1926,D3GVH4,"IPR006095,IPR006096,IPR006097,IPR014362,IPR016040",D3GVH4
35,EC042_2272,D3GZ97,"IPR006113,IPR006114,IPR006115,IPR006184,IPR008927,IPR012284,IPR013328,IPR016040",D3GZ97
36,EC042_3783,D3H0T6,"IPR001327,IPR004099,IPR006322,IPR012999,IPR013027,IPR016156,IPR023753",D3H0T6
37,EC042_0299,D3GT53,"IPR000836,IPR023747,IPR029057",D3GT53
38,EC042_0376,D3GTD0,"IPR001765,IPR015892",D3GTD0
39,EC042_3078,D3GTN3,"IPR002346,IPR005107,IPR016166,IPR016167,IPR016169",D3GTN3
40,EC042_3079,D3GTN4,"IPR001041,IPR002888,IPR012675",D3GTN4
41,EC042_3077,D3GTN2,"IPR000674,IPR008274",D3GTN2
42,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
43,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
44,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
45,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
46,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
47,EC042_2733,D3H3N9,"IPR002871,IPR011339",D3H3N9
48,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
49,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
50,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
51,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
52,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
53,EC042_2732,D3H3N8,"IPR000361,IPR011302,IPR016092,IPR017870",D3H3N8
54,EC042_4381,D3GSZ3,"IPR000489,IPR003726,IPR003759,IPR004223,IPR006158,IPR011005,IPR011822",D3GSZ3
55,EC042_0783,D3GYA5,"IPR000515,IPR011867",D3GYA5
56,EC042_0783,D3GYA5,"IPR000515,IPR011867",D3GYA5
57,EC042_0783,D3GYA5,"IPR000515,IPR011867",D3GYA5
58,EC042_2632,D3H274,"IPR000515,IPR005667,IPR011866",D3H274
59,EC042_2632,D3H274,"IPR000515,IPR005667,IPR011866",D3H274
60,EC042_0784,D3GYA6,"IPR003439,IPR003593,IPR004606,IPR005116,IPR008995,IPR011868,IPR015852,IPR017871,IPR027417",D3GYA6
61,EC042_0784,D3GYA6,"IPR003439,IPR003593,IPR004606,IPR005116,IPR008995,IPR011868,IPR015852,IPR017871,IPR027417",D3GYA6
62,EC042_2631,D3H273,"IPR003439,IPR003593,IPR005666,IPR008995,IPR014769,IPR017871,IPR024765,IPR027417",D3H273
63,EC042_0782,D3GYA4,IPR005950,D3GYA4
64,EC042_3277,D3GVP6,IPR001204,D3GVP6
65,EC042_3277,D3GVP6,IPR001204,D3GVP6
66,EC042_3277,D3GVP6,IPR001204,D3GVP6
67,EC042_3277,D3GVP6,IPR001204,D3GVP6
68,EC042_1264,D3H2J1,"IPR000842,IPR005946,IPR029057,IPR029099",D3H2J1
69,EC042_1859,D3GUI3,"IPR006151,IPR013708,IPR016040,IPR022872,IPR022893",D3GUI3
70,EC042_3647,D3GZK4,"IPR000056,IPR011060,IPR013785,IPR026019",D3GZK4
71,EC042_3651,D3GZK8,"IPR000623,IPR023000,IPR027417",D3GZK8
72,EC042_3409,D3GWT4,"IPR000634,IPR001926,IPR005789",D3GWT4
