,gene_id,uniprot,interpro,goa
0,EC55989_4298,B7L984,IPR003187,B7L984
1,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
2,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
3,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
4,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
5,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
6,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
7,EC55989_3785,B7L4Q7,"IPR006124,IPR010045,IPR017849,IPR017850",B7L4Q7
8,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
9,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
10,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
11,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
12,EC55989_0543,,"IPR000672,IPR016040,IPR020630,IPR020631,IPR020867",B7L7F6
13,EC55989_3200,B7LFG7,"IPR002912,IPR006139,IPR006140,IPR016040,IPR029015,IPR029752,IPR029753",B7LFG7
14,EC55989_5050,B7LEN4,"IPR004469,IPR006383,IPR023190,IPR023214",B7LEN4
15,EC55989_0712,B7LAD5,"IPR003781,IPR005810,IPR005811,IPR016040,IPR016102,IPR017440",B7LAD5
16,EC55989_0711,,"IPR005809,IPR005811,IPR011761,IPR013650,IPR013815,IPR013816,IPR016102,IPR017866",B7LAD4
17,EC55989_4084,B7L740,"IPR001917,IPR004839,IPR011282,IPR015421,IPR015422,IPR015424",B7L740
18,EC55989_4083,,"IPR002085,IPR002328,IPR004627,IPR011032,IPR013149,IPR013154,IPR016040",B7L742
