,gene_id,uniprot,interpro,goa
0,EC042_0238,D3GS73,"IPR006091,IPR009075,IPR009100,IPR013786,IPR015396",D3GS73
1,EC042_0744,D3GY66,"IPR000089,IPR001078,IPR003016,IPR004167,IPR006255,IPR011053,IPR023213",D3GY66
2,EC042_0744,D3GY66,"IPR000089,IPR001078,IPR003016,IPR004167,IPR006255,IPR011053,IPR023213",D3GY66
3,EC042_0743,D3GY65,"IPR001017,IPR005475,IPR011603,IPR029061",D3GY65
4,EC042_0743,D3GY65,"IPR001017,IPR005475,IPR011603,IPR029061",D3GY65
5,EC042_0115,D3H494,"IPR001327,IPR004099,IPR006258,IPR012999,IPR013027,IPR016156,IPR023753",D3H494
6,EC042_0115,D3H494,"IPR001327,IPR004099,IPR006258,IPR012999,IPR013027,IPR016156,IPR023753",D3H494
7,EC042_3641,D3GZJ8,"IPR006124,IPR010045,IPR017849,IPR017850",D3GZJ8
8,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
9,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
10,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
11,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
12,EC042_2755,D3H3R1,"IPR001085,IPR015421,IPR015422,IPR015424,IPR019798",D3H3R1
13,EC042_0572,D3GW77,"IPR000672,IPR016040,IPR020630,IPR020631,IPR020867",D3GW77
14,EC042_0572,D3GW77,"IPR000672,IPR016040,IPR020630,IPR020631,IPR020867",D3GW77
15,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
16,EC042_3129,D3GTT2,"IPR003702,IPR017821,IPR026888",D3GTT2
17,EC042_0962,D3GZU1,"IPR001597,IPR015421,IPR015422,IPR015424,IPR023603",D3GZU1
18,EC042_0962,D3GZU1,"IPR001597,IPR015421,IPR015422,IPR015424,IPR023603",D3GZU1
19,EC042_3115,D3GTR8,"IPR002930,IPR003016,IPR011053,IPR017453",D3GTR8
20,EC042_3116,D3GTR9,"IPR006222,IPR006223,IPR013977,IPR022903,IPR027266,IPR028896,IPR029043",D3GTR9
21,EC042_3114,D3GTR7,"IPR003437,IPR015421,IPR015424,IPR020580,IPR020581",D3GTR7
22,EC042_4377,D3GSY9,"IPR006254,IPR015813,IPR018523",D3GSY9
23,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
24,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
25,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
26,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
27,EC042_2531,D3H1F5,"IPR004839,IPR015421,IPR015422,IPR015424",D3H1F5
28,EC042_4377,D3GSY9,"IPR006254,IPR015813,IPR018523",D3GSY9
29,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
30,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
31,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
32,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
33,EC042_4377,D3GSY9,"IPR006254,IPR015813,IPR018523",D3GSY9
34,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
35,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
36,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
37,EC042_4331,D3GS13,"IPR015813,IPR018129,IPR021135,IPR022805",D3GS13
38,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
39,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
40,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
41,EC042_2017,D3GWI4,"IPR000887,IPR013785",D3GWI4
42,EC042_2018,D3GWI5,"IPR000581,IPR004786,IPR015928,IPR020558",D3GWI5
43,EC042_3135,D3GTT8,"IPR001576,IPR015824,IPR015901,IPR015911",D3GTT8
44,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
45,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
46,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
47,EC042_2017,D3GWI4,"IPR000887,IPR013785",D3GWI4
48,EC042_2018,D3GWI5,"IPR000581,IPR004786,IPR015928,IPR020558",D3GWI5
49,EC042_3135,D3GTT8,"IPR001576,IPR015824,IPR015901,IPR015911",D3GTT8
50,EC042_1945,D3GVJ3,"IPR006424,IPR016040,IPR020828,IPR020829,IPR020830,IPR020831",D3GVJ3
