,gene_id,uniprot,interpro,goa
0,EC55989_0174,,"IPR010084,IPR013114,IPR029069",B7LGP2
1,EC55989_1205,B7LG26,"IPR002198,IPR002347,IPR011284,IPR016040,IPR020904",B7LG26
2,EC55989_2567,B7LBH7,"IPR014030,IPR014031,IPR016038,IPR016039,IPR018201",B7LBH7
3,EC55989_0004,B7L4C9,"IPR000634,IPR001926,IPR004450,IPR029144",B7L4C9
4,EC55989_0154,,"IPR000845,IPR010049,IPR018017",B7LGM1
5,EC55989_1206,,"IPR003231,IPR006162,IPR009081",B7LG27
6,s0001,,,
7,EC55989_3669,B7LHW3,"IPR000089,IPR001249,IPR001882,IPR011053",B7LHW3
8,EC55989_2560,B7LBH0,"IPR000022,IPR000438,IPR011762,IPR029045",B7LBH0
9,EC55989_0179,,"IPR001095,IPR011763,IPR029045",B7LGP7
10,EC55989_3670,B7LHW4,"IPR004549,IPR005479,IPR005481,IPR005482,IPR011054,IPR011761,IPR011764,IPR013815,IPR013816,IPR016185",B7LHW4
11,EC55989_4441,,"IPR001048,IPR004662",B7LA54
12,EC55989_3094,B7LEZ5,"IPR000182,IPR001048,IPR010167,IPR016181",B7LEZ5
13,EC55989_1203,B7LG24,"IPR004655,IPR013747,IPR013751,IPR016038,IPR016039",B7LG24
14,EC55989_4439,,"IPR001261,IPR002933,IPR010169,IPR011650",B7LA57
15,EC55989_3618,B7LHR3,"IPR005653,IPR014340",B7LHR3
16,EC55989_4820,B7LCX2,IPR005495,B7LCX2
17,EC55989_3619,B7LHR4,"IPR003439,IPR003593,IPR017871,IPR027417",B7LHR4
18,EC55989_4819,B7LCX1,IPR005495,B7LCX1
19,EC55989_3617,B7LHR2,"IPR010664,IPR026265",B7LHR2
20,EC55989_3765,B7L4N7,"IPR004636,IPR005814,IPR015421,IPR015422,IPR015424,IPR017652",B7L4N7
21,EC55989_1208,B7LG29,"IPR001544,IPR017824,IPR018300",B7LG29
22,EC55989_3766,B7L4N8,"IPR006221,IPR017926,IPR029062",B7L4N8
23,EC55989_1985,B7L6U0,"IPR005801,IPR005802,IPR006805,IPR015890,IPR019999",B7L6U0
24,EC55989_3023,,"IPR002891,IPR027417",B7LEG8
25,EC55989_1244,B7LGQ9,"IPR000362,IPR004769,IPR008948,IPR013539,IPR020557,IPR022761,IPR024083",B7LGQ9
26,EC55989_4732,,"IPR001114,IPR018220,IPR027417",B7LC36
27,EC55989_3434,B7LGG3,"IPR002123,IPR004552",B7LGG3
