#node	identifier	category	term ID	term description
KPN_00075	272620.KPN_00075	GO Process	GO:0006082	Organic acid metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0006520	Cellular amino acid metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0006725	Cellular aromatic compound metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0006807	Nitrogen compound metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0008152	Metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0008652	Cellular amino acid biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0009058	Biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0009072	Aromatic amino acid family metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0009073	Aromatic amino acid family biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0009423	Chorismate biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0009987	Cellular process
KPN_00075	272620.KPN_00075	GO Process	GO:0016053	Organic acid biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0019438	Aromatic compound biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0019752	Carboxylic acid metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0043436	Oxoacid metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0043648	Dicarboxylic acid metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0043650	Dicarboxylic acid biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0044237	Cellular metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0044238	Primary metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0044249	Cellular biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0044281	Small molecule metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0044283	Small molecule biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0046394	Carboxylic acid biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:0046417	Chorismate metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:0055114	Oxidation-reduction process
KPN_00075	272620.KPN_00075	GO Process	GO:0071704	Organic substance metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:1901360	Organic cyclic compound metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:1901362	Organic cyclic compound biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:1901564	Organonitrogen compound metabolic process
KPN_00075	272620.KPN_00075	GO Process	GO:1901566	Organonitrogen compound biosynthetic process
KPN_00075	272620.KPN_00075	GO Process	GO:1901576	Organic substance biosynthetic process
KPN_00075	272620.KPN_00075	GO Function	GO:0003824	Catalytic activity
KPN_00075	272620.KPN_00075	GO Function	GO:0004764	Shikimate 3-dehydrogenase (nadp+) activity
KPN_00075	272620.KPN_00075	GO Function	GO:0016491	Oxidoreductase activity
KPN_00075	272620.KPN_00075	GO Function	GO:0016614	Oxidoreductase activity, acting on ch-oh group of donors
