#node	identifier	x_position	y_position	color	annotation
Rv0191	83332.Rv0191	0.32773654916512057	0.07943100065402224	rgb(239,155,117)	Probable conserved integral membrane protein; Active efflux pump that plays an important role in chloramphenicol resistance . Overexpression causes pyrazinamide resistance 
Rv0650	83332.Rv0650	0.6271799628942486	0.7004251144538916	rgb(198,239,117)	Possible sugar kinase; Rv0650, (MTCY20H10.31), len: 302 aa. Possible sugar kinase, highly similar to others e.g. CAB95296.1|AL359779 putative sugar kinase from Streptomyces coelicolor (317 aa); NP_406512.1|NC_003143 putative sugar kinase from Yersinia pestis (290 aa); NP_229269.1|NC_000853 glucokinase from Thermotoga maritima (317 aa); etc.Contains PS01125 ROK family signature. Belongs to the ROK (NAGC/XYLR) family
Rv1086	83332.Rv1086	0.6299628942486086	0.7545781556572925	rgb(117,157,239)	(2Z,6E)-farnesyl diphosphate synthase; Catalyzes the condensation of only one isopentenyl pyrophosphate (IPP) unit in the cis configuration to E-geranyl diphosphate (E-GPP) generating the 15 carbon product (2Z,6E)-farnesyl diphosphate (Z-FPP or EZ-FPP). Z-FPP is the precursor of decaprenyl diphosphate, which has a central role in the biosynthesis of the mycobacterial cell wall
Rv1373	83332.Rv1373	0.08450834879406308	0.3278286461739699	rgb(117,239,129)	Glycolipid sulfotransferase; Involved in the synthesis of cell wall sulfolipids with activity towards mycobacterial trehalose glycolipids and eukaryotic glycolipids such as glucosylceramide and galactosylceramide (type I and II) but not towards eukaryotic 3'-sulfate galactosylceramide
Rv1692	83332.Rv1692	0.29935064935064937	0.4755722694571615	rgb(117,186,239)	Probable phosphatase; Glycerol-phosphate phosphatase with a preference for D- glycerol 3-phosphate (sn-glycerol 1-phosphate) over L-glycerol 3- phosphate (sn-glycerol 3-phosphate). Is the final enzyme involved in the recycling/catabolism of glycerophospholipid polar heads. To a lesser extent, is also able to act on glycerol 2-phosphate and D- ribulose 5-phosphate, but cannot use D-glyceraldehyde 3-phosphate, dihydroxyacetone-phosphate, UMP or GMP as substrates
Rv1739c	83332.Rv1739c	0.8587198515769945	0.39375408763897973	rgb(239,148,117)	Probable sulphate-transport transmembrane protein abc transporter; Expression in E.coli induces sulfate uptake during early- to mid-log phase growth. Uptake is maximal at pH 6.0, is sulfate-specific, requires E.coli CysA and the transmembrane segment but not the STAS domain of the protein
Rv1885c	83332.Rv1885c	0.3010204081632653	0.32429692609548727	rgb(117,153,239)	Chorismate mutase; Catalyzes the Claisen rearrangement of chorismate to prephenate. May play some role in the pathogenicity
Rv2182c	83332.Rv2182c	0.611038961038961	0.7522236756049706	rgb(239,119,117)	Rv2182c, (MTV021.15c), len: 247 aa. Probable 1-acylglycerol-3-phosphate O-acyltransferase, similar to many e.g. in Streptomyces. Contains PS00017 ATP/GTP-binding site motif A (P-loop). FASTA scores: pir||T35503 1-acylglycerol-3-phosphate O-acyltransferase homolog SC6E10.16c - Streptomyces coelicolor >gi|5689932|emb|CAB51970.1| (AL109661) hypothetical protein [Streptomyces coelicolor A3(2)] Length = 262, Expect = 6e-61 (54% identity in 215 aa overlap)
Rv2611c	83332.Rv2611c	0.5982374768089054	0.92351209941138	rgb(215,239,117)	Probable acyltransferase; Catalyzes the acylation to the position 6 of the alpha-1,2- linked mannose residue of the phosphatidyl-myo-inositol dimannoside (PIM2) or monomannoside (PIM1)
Rv2859c	83332.Rv2859c	0.3310760667903525	0.31370176586003923	rgb(239,144,117)	Rv2859c, (MTV003.05c), len: 308 aa. Possible amidotransferase, equivalent (but longer 58 aa) to Q9CBU9|ML1573 possible amidotransferase from Mycobacterium leprae (249 aa), FASTA scores: opt: 1226, E(): 3e-64,(71.55% identity in 239 aa overlap). Also similar to other amidotransferases and hypothetical proteins, but shorter in N-terminus e.g. O88072|SCI35.37 hypothetical 25.3 KDA protein from Streptomyces coelicolor (242 aa), FASTA scores: opt: 683, E(): 1.2e-32, (47.65% identity in 235 aa overlap); AAK79730|Q97I88|CAC1764 predicted glutamine amidotransferase from Clostridium acetobutyli [...] 
Rv2949c	83332.Rv2949c	0.2041743970315399	0.4120013080444735	rgb(101,199,255)	Chorismate pyruvate lyase; Removes the pyruvyl group from chorismate to provide 4- hydroxybenzoate (4HB). Involved in the synthesis of glycosylated p- hydroxybenzoic acid methyl esters (p-HBADs) and phenolic glycolipids (PGL) that play important roles in the pathogenesis of mycobacterial infections
Rv2957	83332.Rv2957	0.30547309833024117	0.8134401569653369	rgb(239,137,117)	Possible glycosyl transferase; Involved in glycosylation steps downstream of mono-O-methyl- glycosyl-p-hydroxybenzoic acid derivative (p-HBAD I) and 2-O-methyl- rhamnosyl-phenolphthiocerol dimycocerosate (mycoside B) during the p- hydroxybenzoic acid derivatives (p-HBAD) and glycosylated phenolphthiocerol dimycocerosates (PGL) biosynthesis
Rv2958c	83332.Rv2958c	0.20584415584415583	0.530313930673643	rgb(117,133,239)	Possible glycosyl transferase; Involved in glycosylation steps downstream of mono-O-methyl- glycosyl-p-hydroxybenzoic acid derivative (p-HBAD I) and 2-O-methyl- rhamnosyl-phenolphthiocerol dimycocerosate (mycoside B) during the p- hydroxybenzoic acid derivatives (p-HBAD) and glycosylated phenolphthiocerol dimycocerosates (PGL) biosynthesis
Rv2962c	83332.Rv2962c	0.18191094619666048	0.6757030739045129	rgb(117,239,218)	Possible glycosyl transferase; Catalyzes the transfer of the first rhamnosyl residue on p- hydroxybenzoic acid or phenolphthiocerol derivatives to form, after O- methylation at position 2 of the sugar unit, mono-O-methyl-glycosyl-p- hydroxybenzoic acid derivative (p-HBAD I) and 2-O-methyl-rhamnosyl- phenolphthiocerol dimycocerosate (also called mycoside B) during p- hydroxybenzoic acid derivatives (p-HBAD) and glycosylated phenolphthiocerol dimycocerosates (PGL) biosynthesis
Rv3273	83332.Rv3273	0.9115955473098332	0.497351209941138	rgb(117,239,231)	Rv3273, (MTCY71.13), len: 764 aa. Probable transmembrane protein (N-terminal part is hydrophobic) with probable carbonic anhydrase activity (in C-terminal part). Possibly involved in transport of sulfate. Equivalent to Q9CBA3|ML2279 putative transmembrane transport protein from Mycobacterium leprae (496 aa), FASTA scores: opt: 1637,E(): 1.8e-89, (59.15% identity in 487 aa overlap). Similar to various proteins (principally sulfate transporters) e.g. Q9X927|SCH5.25 putative integral membrane protein from Streptomyces coelicolor (830 aa), FASTA scores: opt: 1325,E(): 8e-71, (40.85% identi [...] 
Rv3468c	83332.Rv3468c	0.5242115027829314	0.8352190974493133	rgb(117,239,124)	Rv3468c, (MTCY13E12.21c), len: 364 aa. Possible dTDP-glucose-4,6-dehydratase, but experimental study shown that the purified protein didn't have dTDP-glucose dehydratase (rmlB) activity (see Ma et al., 2001). Similar to others e.g. O08246|MTME from Streptomyces argillaceus (331 aa), FASTA scores: opt: 238, E(): 1.2e-07, (29.65% identity in 344 aa overlap); Q9LFG7|F4P12_220 from Arabidopsis thaliana (Mouse-ear cress) (433 aa), FASTA scores: opt: 237, E(): 1.8e-07, (27.25% identity in 308 aa overlap); Q9LZI2|F26K9_260 from Arabidopsis thaliana (Mouse-ear cress) (445 aa), FASTA scores: op [...] 
