#node	identifier	x_position	y_position	color	annotation
ABD29247.1	93061.SAOUHSC_00060	0.758651911468813	0.4650293255131965	rgb(239,177,117)	PhoU domain-containing protein
ABD29301.1	93061.SAOUHSC_00120	0.692857142857143	0.1687683284457478	rgb(117,166,239)	UDP-N-acetylglucosamine 2-epimerase; Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
ABD29310.1	93061.SAOUHSC_00129	0.645774647887324	0.16282991202346042	rgb(117,239,215)	UDP-N-acetylglucosamine 2-epimerase; Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
ABD29330.1	93061.SAOUHSC_00150	0.33249496981891347	0.6900293255131966	rgb(117,239,217)	Ornithine aminotransferase; Catalyzes the interconversion of ornithine to glutamate semialdehyde.
ABD29373.1	93061.SAOUHSC_00195	0.40975855130784705	0.19648093841642228	rgb(145,239,117)	acetyl-CoA acetyltransferase, putative; Belongs to the thiolase-like superfamily. Thiolase family. 
ABD29386.1	93061.SAOUHSC_00209	0.4827967806841046	0.08299120234604107	rgb(239,196,117)	PTS system, glucose-specific IIBC component, putative
ABD29471.1	93061.SAOUHSC_00302	0.4948692152917505	0.23277126099706746	rgb(234,239,117)	Oxidored_FMN domain-containing protein
ABD29504.1	93061.SAOUHSC_00336	0.432092555331992	0.19846041055718477	rgb(117,117,239)	Probable acetyl-CoA acyltransferase; acetyl-CoA acetyltransferase, putative; Belongs to the thiolase-like superfamily. Thiolase family. 
ABD29507.1	93061.SAOUHSC_00339	0.553420523138833	0.5541055718475073	rgb(198,239,117)	Hcy-binding domain-containing protein
ABD29508.1	93061.SAOUHSC_00340	0.5992957746478874	0.7771260997067448	rgb(117,224,239)	Trans-sulfuration enzyme family protein
ABD29509.1	93061.SAOUHSC_00341	0.528672032193159	0.7362170087976541	rgb(117,218,239)	Uncharacterized protein
ABD29574.1	93061.SAOUHSC_00412	0.10311871227364186	0.4274193548387097	rgb(117,117,239)	NADH dehydrogenase subunit 5, putative
ABD29582.1	93061.SAOUHSC_00421	0.6391348088531188	0.7276392961876833	rgb(164,239,117)	PALP domain-containing protein
ABD29583.1	93061.SAOUHSC_00422	0.5618712273641852	0.7309384164222874	rgb(14,178,0)	Trans-sulfuration enzyme family protein, putative
ABD29595.1	93061.SAOUHSC_00436	0.35	0.5494868035190615	rgb(222,239,117)	NADH-glutamate synthase small subunit, putative
ABD29605.1	93061.SAOUHSC_00450	0.28420523138833	0.7236803519061584	rgb(117,117,239)	Orn/Lys/Arg decarboxylase, putative
ABD29641.1	93061.SAOUHSC_00488	0.6439637826961772	0.662316715542522	rgb(117,200,239)	Cysteine synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.
ABD29642.1	93061.SAOUHSC_00489	0.6451710261569417	0.4175219941348974	rgb(101,199,255)	Dihydropteroate synthase; Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8- dihydropteroate (H2Pte), the immediate precursor of folate derivatives. 
ABD29643.1	93061.SAOUHSC_00490	0.7514084507042255	0.5956744868035191	rgb(117,117,239)	7,8-dihydroneopterin aldolase; Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin.
