#node	identifier	category	term ID	term description
Rv0191	83332.Rv0191	GO Process	GO:0006810	Transport
Rv0191	83332.Rv0191	GO Process	GO:0009987	Cellular process
Rv0191	83332.Rv0191	GO Process	GO:0042221	Response to chemical
Rv0191	83332.Rv0191	GO Process	GO:0046677	Response to antibiotic
Rv0191	83332.Rv0191	GO Process	GO:0050896	Response to stimulus
Rv0191	83332.Rv0191	GO Process	GO:0051179	Localization
Rv0191	83332.Rv0191	GO Process	GO:0051234	Establishment of localization
Rv0191	83332.Rv0191	GO Process	GO:0055085	Transmembrane transport
Rv0191	83332.Rv0191	GO Function	GO:0005215	Transporter activity
Rv0191	83332.Rv0191	GO Function	GO:0022857	Transmembrane transporter activity
Rv0191	83332.Rv0191	GO Component	GO:0005886	Plasma membrane
Rv0191	83332.Rv0191	GO Component	GO:0016020	Membrane
Rv0191	83332.Rv0191	GO Component	GO:0016021	Integral component of membrane
Rv0191	83332.Rv0191	GO Component	GO:0031224	Intrinsic component of membrane
Rv0191	83332.Rv0191	GO Component	GO:0071944	Cell periphery
Rv0191	83332.Rv0191	GO Component	GO:0110165	Cellular anatomical entity
Rv0191	83332.Rv0191	STRING clusters	CL:6791	Mixed, incl. meti-like superfamily, and lipoprotein
Rv0191	83332.Rv0191	STRING clusters	CL:6792	Mixed, incl. meti-like superfamily, and solute-binding protein family 5
Rv0191	83332.Rv0191	STRING clusters	CL:6830	Mixed, incl. abc-type glycine betaine transport system, substrate-binding domain, and putative glycolipid-binding
Rv0191	83332.Rv0191	UniProt Keywords	KW-0046	Antibiotic resistance
Rv0191	83332.Rv0191	UniProt Keywords	KW-0472	Membrane
Rv0191	83332.Rv0191	UniProt Keywords	KW-0812	Transmembrane
Rv0191	83332.Rv0191	UniProt Keywords	KW-0813	Transport
Rv0191	83332.Rv0191	UniProt Keywords	KW-1003	Cell membrane
Rv0191	83332.Rv0191	UniProt Keywords	KW-1133	Transmembrane helix
Rv0191	83332.Rv0191	Pfam	PF07690	Major Facilitator Superfamily
Rv0191	83332.Rv0191	InterPro	IPR011701	Major facilitator superfamily
Rv0191	83332.Rv0191	InterPro	IPR020846	Major facilitator superfamily domain
Rv0191	83332.Rv0191	InterPro	IPR036259	MFS transporter superfamily
Rv0650	83332.Rv0650	STRING clusters	CL:2411	Generation of precursor metabolites and energy, and oxidative phosphorylation
Rv0650	83332.Rv0650	STRING clusters	CL:2412	Generation of precursor metabolites and energy, and oxidative phosphorylation
Rv0650	83332.Rv0650	STRING clusters	CL:2413	Carbon metabolism
Rv0650	83332.Rv0650	STRING clusters	CL:2523	Pentose phosphate pathway, and Glycolysis
Rv0650	83332.Rv0650	UniProt Keywords	KW-0418	Kinase
Rv0650	83332.Rv0650	UniProt Keywords	KW-0808	Transferase
Rv0650	83332.Rv0650	Pfam	PF00480	ROK family
Rv0650	83332.Rv0650	InterPro	IPR000600	ROK family
Rv0650	83332.Rv0650	InterPro	IPR043129	ATPase, nucleotide binding domain
Rv1086	83332.Rv1086	GO Process	GO:0006066	Alcohol metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0006629	Lipid metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0006720	Isoprenoid metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0008152	Metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0008299	Isoprenoid biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0008610	Lipid biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0009058	Biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0009987	Cellular process
Rv1086	83332.Rv1086	GO Process	GO:0016093	Polyprenol metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0016094	Polyprenol biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0044237	Cellular metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0044238	Primary metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0044249	Cellular biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0044255	Cellular lipid metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0044281	Small molecule metabolic process
Rv1086	83332.Rv1086	GO Process	GO:0044283	Small molecule biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0046165	Alcohol biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:0071704	Organic substance metabolic process
Rv1086	83332.Rv1086	GO Process	GO:1901576	Organic substance biosynthetic process
Rv1086	83332.Rv1086	GO Process	GO:1901615	Organic hydroxy compound metabolic process
Rv1086	83332.Rv1086	GO Process	GO:1901617	Organic hydroxy compound biosynthetic process
Rv1086	83332.Rv1086	GO Function	GO:0000287	Magnesium ion binding
Rv1086	83332.Rv1086	GO Function	GO:0002094	Polyprenyltransferase activity
Rv1086	83332.Rv1086	GO Function	GO:0003824	Catalytic activity
Rv1086	83332.Rv1086	GO Function	GO:0004659	Prenyltransferase activity
Rv1086	83332.Rv1086	GO Function	GO:0005488	Binding
Rv1086	83332.Rv1086	GO Function	GO:0008834	Di-trans,poly-cis-decaprenylcistransferase activity
Rv1086	83332.Rv1086	GO Function	GO:0016740	Transferase activity
Rv1086	83332.Rv1086	GO Function	GO:0016765	Transferase activity, transferring alkyl or aryl (other than methyl) groups
Rv1086	83332.Rv1086	GO Function	GO:0030145	Manganese ion binding
Rv1086	83332.Rv1086	GO Function	GO:0033850	Z-farnesyl diphosphate synthase activity
Rv1086	83332.Rv1086	GO Function	GO:0043167	Ion binding
Rv1086	83332.Rv1086	GO Function	GO:0043169	Cation binding
Rv1086	83332.Rv1086	GO Function	GO:0046872	Metal ion binding
Rv1086	83332.Rv1086	GO Function	GO:0046914	Transition metal ion binding
Rv1086	83332.Rv1086	GO Component	GO:0005622	Intracellular
Rv1086	83332.Rv1086	GO Component	GO:0005737	Cytoplasm
Rv1086	83332.Rv1086	GO Component	GO:0005829	Cytosol
Rv1086	83332.Rv1086	GO Component	GO:0005886	Plasma membrane
Rv1086	83332.Rv1086	GO Component	GO:0016020	Membrane
Rv1086	83332.Rv1086	GO Component	GO:0071944	Cell periphery
Rv1086	83332.Rv1086	GO Component	GO:0110165	Cellular anatomical entity
Rv1086	83332.Rv1086	STRING clusters	CL:3669	Mixed, incl. terpenoid backbone biosynthesis, and s-adenosyl-l-methionine-dependent methyltransferase
Rv1086	83332.Rv1086	STRING clusters	CL:3670	Mixed, incl. isoprenoid biosynthetic process, and methyltransferase domain
Rv1086	83332.Rv1086	STRING clusters	CL:3671	Mixed, incl. isoprenoid biosynthetic process, and polyprenyl synthetase
Rv1086	83332.Rv1086	STRING clusters	CL:3672	Isoprenoid biosynthetic process, and polyprenyl synthetase, conserved site
Rv1086	83332.Rv1086	STRING clusters	CL:3674	Isoprenoid biosynthetic process, and polyprenyl synthetase, conserved site
Rv1086	83332.Rv1086	STRING clusters	CL:3675	Isoprenoid biosynthetic process, and polyprenyl synthetase, conserved site
Rv1086	83332.Rv1086	STRING clusters	CL:3689	Isoprenoid synthase domain superfamily, and polyprenol metabolic process
Rv1086	83332.Rv1086	UniProt Keywords	KW-0460	Magnesium
Rv1086	83332.Rv1086	UniProt Keywords	KW-0472	Membrane
Rv1086	83332.Rv1086	UniProt Keywords	KW-0479	Metal-binding
Rv1086	83332.Rv1086	UniProt Keywords	KW-0808	Transferase
Rv1086	83332.Rv1086	UniProt Keywords	KW-0963	Cytoplasm
Rv1086	83332.Rv1086	UniProt Keywords	KW-1003	Cell membrane
Rv1086	83332.Rv1086	Pfam	PF01255	Putative undecaprenyl diphosphate synthase
Rv1086	83332.Rv1086	InterPro	IPR001441	Decaprenyl diphosphate synthase-like
Rv1086	83332.Rv1086	InterPro	IPR018520	Di-trans-poly-cis-decaprenylcistransferase-like, conserved site
Rv1086	83332.Rv1086	InterPro	IPR036424	Decaprenyl diphosphate synthase-like superfamily
Rv1373	83332.Rv1373	GO Process	GO:0006082	Organic acid metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0006629	Lipid metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0006790	Sulfur compound metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0008152	Metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0008610	Lipid biosynthetic process
Rv1373	83332.Rv1373	GO Process	GO:0009058	Biosynthetic process
Rv1373	83332.Rv1373	GO Process	GO:0009987	Cellular process
Rv1373	83332.Rv1373	GO Process	GO:0043436	Oxoacid metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0044237	Cellular metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0044238	Primary metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0044249	Cellular biosynthetic process
Rv1373	83332.Rv1373	GO Process	GO:0044255	Cellular lipid metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0044272	Sulfur compound biosynthetic process
Rv1373	83332.Rv1373	GO Process	GO:0044281	Small molecule metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0046505	Sulfolipid metabolic process
Rv1373	83332.Rv1373	GO Process	GO:0046506	Sulfolipid biosynthetic process
Rv1373	83332.Rv1373	GO Process	GO:0071704	Organic substance metabolic process
Rv1373	83332.Rv1373	GO Process	GO:1901576	Organic substance biosynthetic process
Rv1373	83332.Rv1373	GO Function	GO:0003824	Catalytic activity
Rv1373	83332.Rv1373	GO Function	GO:0008146	Sulfotransferase activity
Rv1373	83332.Rv1373	GO Function	GO:0016740	Transferase activity
Rv1373	83332.Rv1373	GO Function	GO:0016782	Transferase activity, transferring sulfur-containing groups
Rv1373	83332.Rv1373	STRING clusters	CL:7636	Mixed, incl. transposase, and integrase core domain
Rv1373	83332.Rv1373	STRING clusters	CL:7637	Mixed, incl. transposase, and integrase core domain
Rv1373	83332.Rv1373	STRING clusters	CL:7638	Mixed, incl. transposase, and integrase core domain
Rv1373	83332.Rv1373	STRING clusters	CL:7639	Mixed, incl. transposase, and hth-like domain
Rv1373	83332.Rv1373	UniProt Keywords	KW-0808	Transferase
Rv1373	83332.Rv1373	Pfam	PF00685	Sulfotransferase domain
Rv1373	83332.Rv1373	InterPro	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Rv1692	83332.Rv1692	GO Process	GO:0005975	Carbohydrate metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006066	Alcohol metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006071	Glycerol metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006629	Lipid metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006644	Phospholipid metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006650	Glycerophospholipid metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006793	Phosphorus metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0006796	Phosphate-containing compound metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0008152	Metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0009056	Catabolic process
Rv1692	83332.Rv1692	GO Process	GO:0009395	Phospholipid catabolic process
Rv1692	83332.Rv1692	GO Process	GO:0009987	Cellular process
Rv1692	83332.Rv1692	GO Process	GO:0016042	Lipid catabolic process
Rv1692	83332.Rv1692	GO Process	GO:0016311	Dephosphorylation
Rv1692	83332.Rv1692	GO Process	GO:0019400	Alditol metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0019637	Organophosphate metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0019751	Polyol metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0044237	Cellular metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0044238	Primary metabolic process
Rv1692	83332.Rv1692	GO Process	GO:0044242	Cellular lipid catabolic process
Rv1692	83332.Rv1692	GO Process	GO:0044248	Cellular catabolic process
Rv1692	83332.Rv1692	GO Process	GO:0044255	Cellular lipid metabolic process
