#node	identifier	x_position	y_position	color	annotation
ECP_0002	362663.ECP_0002	0.4553479381443299	0.4083442838370565	rgb(117,127,239)	Bifunctional aspartokinase / homoserine dehydrogenase 1; In the C-terminal section; belongs to the homoserine dehydrogenase family
ECP_0004	362663.ECP_0004	0.5394329896907216	0.2948094612352168	rgb(181,239,117)	annotation not available
ECP_0010	362663.ECP_0010	0.7047036082474227	0.8335085413929041	rgb(147,239,117)	annotation not available
ECP_0023	362663.ECP_0023	0.6548324742268042	0.628318002628121	rgb(239,117,117)	Riboflavin kinase / fmn adenylyltransferase; Belongs to the ribF family
ECP_0048	362663.ECP_0048	0.6716494845360825	0.40538764783180026	rgb(117,239,197)	Dihydrofolate reductase; Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis
ECP_0079	362663.ECP_0079	0.4211340206185567	0.13633377135348226	rgb(239,172,117)	annotation not available
ECP_0080	362663.ECP_0080	0.45186855670103093	0.13633377135348226	rgb(117,237,239)	annotation not available
ECP_0101	362663.ECP_0101	0.6565721649484537	0.8536136662286465	rgb(117,117,239)	8-oxo-dGTP diphosphatase; Belongs to the Nudix hydrolase family
ECP_0109	362663.ECP_0109	0.7760309278350517	0.35039421813403415	rgb(239,134,117)	Nicotinate-nucleotide pyrophosphorylase (carboxylating); Belongs to the NadC/ModD family
ECP_0123	362663.ECP_0123	0.29645618556701037	0.25578186596583447	rgb(117,239,215)	annotation not available
ECP_0125	362663.ECP_0125	0.24194587628865977	0.2173455978975033	rgb(239,154,117)	Aconitate hydratase 2 / 2-methylisocitrate dehydratase; Belongs to the aconitase/IPM isomerase family
ECP_0134	362663.ECP_0134	0.8653350515463918	0.17417871222076214	rgb(117,187,239)	Carbonic anhydrase; Reversible hydration of carbon dioxide
ECP_0152	362663.ECP_0152	0.7505154639175259	0.43318002628120894	rgb(117,144,239)	annotation not available
ECP_0159	362663.ECP_0159	0.6954252577319588	0.6750328515111697	rgb(117,141,239)	Penicillin-binding protein 1b; Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross- linking of the peptide subunits)
ECP_0183	362663.ECP_0183	0.32487113402061857	0.6632063074901445	rgb(117,239,169)	Phosphatidate cytidylyltransferase; Belongs to the CDS family
ECP_0251	362663.ECP_0251	0.11494845360824742	0.5011826544021025	rgb(117,239,181)	annotation not available
ECP_0412	362663.ECP_0412	0.8114046391752577	0.2516425755584757	rgb(239,203,117)	annotation not available
ECP_0432	362663.ECP_0432	0.4530283505154639	0.5869250985545336	rgb(239,239,117)	Delta-aminolevulinic acid dehydratase; Belongs to the ALAD family
ECP_0440	362663.ECP_0440	0.45186855670103093	0.8151773981603154	rgb(117,239,228)	D-alanine-d-alanine ligase a; Cell wall formation
ECP_0473	362663.ECP_0473	0.5446520618556702	0.5183311432325887	rgb(117,143,239)	Diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase; Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'- phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)-pyrimidinedione 5'- phosphate
ECP_0513	362663.ECP_0513	0.1625	0.33561103810775295	rgb(117,133,239)	annotation not available
ECP_0576	362663.ECP_0576	0.3817010309278351	0.1795006570302234	rgb(117,239,129)	annotation not available
ECP_0686	362663.ECP_0686	0.6327963917525774	0.2551905387647832	rgb(239,222,117)	annotation not available
ECP_0731	362663.ECP_0731	0.33472938144329895	0.33324572930354796	rgb(117,117,239)	Belongs to the citrate synthase family
ECP_0733	362663.ECP_0733	0.26978092783505153	0.38823915900131406	rgb(117,239,136)	annotation not available
ECP_0734	362663.ECP_0734	0.4292525773195876	0.29717477003942183	rgb(239,237,117)	Succinate dehydrogenase / fumarate reductase, membrane anchor subunit; Membrane-anchoring subunit of succinate dehydrogenase (SDH)
ECP_0735	362663.ECP_0735	0.29471649484536083	0.3432982917214192	rgb(117,239,209)	Succinate dehydrogenase / fumarate reductase, flavoprotein subunit; Belongs to the FAD-dependent oxidoreductase 2 family. FRD/SDH subfamily
ECP_0736	362663.ECP_0736	0.27442010309278353	0.34921156373193163	rgb(117,214,239)	Succinate dehydrogenase / fumarate reductase, iron-sulfur subunit; Belongs to the succinate dehydrogenase/fumarate reductase iron-sulfur protein family
ECP_0737	362663.ECP_0737	0.3759020618556701	0.238042049934297	rgb(117,138,239)	annotation not available
ECP_0738	362663.ECP_0738	0.2657216494845361	0.29303547963206306	rgb(239,180,117)	Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex; E2 component of the 2-oxoglutarate dehydrogenase (OGDH) complex which catalyzes the second step in the conversion of 2- oxoglutarate to succinyl-CoA and CO(2)
ECP_0765	362663.ECP_0765	0.6119201030927836	0.17181340341655718	rgb(239,149,117)	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive; Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D-arabino- heptulosonate-7-phosphate (DAHP)
ECP_0775	362663.ECP_0775	0.5394329896907216	0.8394218134034166	rgb(117,117,239)	annotation not available
ECP_0776	362663.ECP_0776	0.5800257731958763	0.8607095926412616	rgb(239,191,117)	Molybdenum transport system permease protein modb; Part of the binding-protein-dependent transport system for molybdenum; probably responsible for the translocation of the substrate across the membrane
ECP_0798	362663.ECP_0798	0.6072809278350516	0.7554533508541393	rgb(117,117,239)	annotation not available
