#node	identifier	x_position	y_position	color	annotation
STM1557	99287.STM1557	0.6811761045426261	0.40833846153846154	rgb(117,117,239)	Putative aminotransferase; Similar to E. coli enzyme that may degrade or block biosynthesis of endogenous mal inducer, probably aminotrasferase (AAC74694.1); Blastp hit to AAC74694.1 (390 aa), 33% identity in aa 3 - 382
STM1620	99287.STM1620	0.6783758556316117	0.7744307692307694	rgb(117,206,239)	Putative oxidase; Similar to E. coli L-lactate dehydrogenase (AAC76629.1); Blastp hit to AAC76629.1 (396 aa), 38% identity in aa 212 - 384, 33% identity in aa 22 - 175
STM2093	99287.STM2093	0.693497199751089	0.3114153846153846	rgb(117,170,239)	Protein RfbI; LPS side chain defect; RFBI protein. (SW:RFBI_SALTY)
STM3334	99287.STM3334	0.2874611076540137	0.5540000000000002	rgb(117,143,239)	Similar to E. coli cytosine deaminase (AAC73440.1); Blastp hit to AAC73440.1 (427 aa), 83% identity in aa 1 - 427
STM3624A	99287.STM3624A	0.555164903546982	0.34963076923076924	rgb(176,239,117)	Cystathionine gamma-synthase
STM3859	99287.STM3859	0.3591474797759801	0.7810769230769231	rgb(138,239,117)	Similar to E. coli dehydroshikimate reductase (AAC76306.1); Blastp hit to AAC76306.1 (272 aa), 26% identity in aa 20 - 258; quinate 5-dehydrogenase
STM4465	99287.STM4465	0.4649968886123211	0.45486153846153843	rgb(117,117,239)	Ornithine carbamoyltransferase, catabolic; Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline; Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family.
STM4466	99287.STM4466	0.30986309894212816	0.6570153846153847	rgb(196,239,117)	Carbamate kinase; Similar to E. coli putative carbamate kinase (AAC73623.1); Blastp hit to AAC73623.1 (297 aa), 56% identity in aa 2 - 295
accA	99287.STM0232	0.39611076540136897	0.6570153846153847	rgb(117,239,156)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha; Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA. 
accB	99287.STM3379	0.45323584318606097	0.7356615384615385	rgb(239,200,117)	Biotin carboxyl carrier protein of acetyl-CoA carboxylase; This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. 
accC	99287.STM3380	0.4946795270690728	0.6836	rgb(117,135,239)	Biotin carboxylase; This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. 
accD	99287.STM2366	0.47395768512756686	0.6703076923076924	rgb(117,117,239)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta; Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl-CoA; Belongs to the AccD/PCCB family.
aceA	99287.STM4184	0.7237398879900436	0.7052	rgb(14,178,0)	Isocitrate lyase; Involved in the metabolic adaptation in response to environmental changes. Catalyzes the reversible formation of succinate and glyoxylate from isocitrate, a key step of the glyoxylate cycle, which operates as an anaplerotic route for replenishing the tricarboxylic acid cycle during growth on fatty acid substrates. 
aceB	99287.STM4183	0.6789359054138147	0.6885846153846155	rgb(117,239,144)	Similar to E. coli malate synthase A (AAC76984.1); Blastp hit to AAC76984.1 (533 aa), 90% identity in aa 1 - 533
acnA	99287.STM1712	0.6229309271935284	0.6232307692307693	rgb(117,178,239)	Aconitate hydratase A; Involved in the catabolism of short chain fatty acids (SCFA) via the tricarboxylic acid (TCA)(acetyl degradation route) and the 2- methylcitrate cycle I (propionate degradation route). Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. Also catalyzes the hydration of 2-methyl-cis-aconitate to yield (2R,3S)-2-methylisocitrate. The (2S,3S)-2-methylcitrate (2-MC) is a very poor substrate . The apo form of AcnA functions as a RNA-binding regulatory protein (By similarity). ; Belongs to the aconitase/IPM isomerase family. 
