#node	identifier	category	term ID	term description
STM1557	99287.STM1557	GO Process	GO:0000096	Sulfur amino acid metabolic process
STM1557	99287.STM1557	GO Process	GO:0000097	Sulfur amino acid biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0006082	Organic acid metabolic process
STM1557	99287.STM1557	GO Process	GO:0006355	Regulation of transcription, dna-templated
STM1557	99287.STM1557	GO Process	GO:0006520	Cellular amino acid metabolic process
STM1557	99287.STM1557	GO Process	GO:0006555	Methionine metabolic process
STM1557	99287.STM1557	GO Process	GO:0006790	Sulfur compound metabolic process
STM1557	99287.STM1557	GO Process	GO:0006807	Nitrogen compound metabolic process
STM1557	99287.STM1557	GO Process	GO:0008152	Metabolic process
STM1557	99287.STM1557	GO Process	GO:0008652	Cellular amino acid biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0009058	Biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0009066	Aspartate family amino acid metabolic process
STM1557	99287.STM1557	GO Process	GO:0009067	Aspartate family amino acid biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0009086	Methionine biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0009889	Regulation of biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0009987	Cellular process
STM1557	99287.STM1557	GO Process	GO:0010468	Regulation of gene expression
STM1557	99287.STM1557	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0016053	Organic acid biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
STM1557	99287.STM1557	GO Process	GO:0019222	Regulation of metabolic process
STM1557	99287.STM1557	GO Process	GO:0019752	Carboxylic acid metabolic process
STM1557	99287.STM1557	GO Process	GO:0031323	Regulation of cellular metabolic process
STM1557	99287.STM1557	GO Process	GO:0031326	Regulation of cellular biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0043433	Negative regulation of dna-binding transcription factor activity
STM1557	99287.STM1557	GO Process	GO:0043436	Oxoacid metabolic process
STM1557	99287.STM1557	GO Process	GO:0044092	Negative regulation of molecular function
STM1557	99287.STM1557	GO Process	GO:0044237	Cellular metabolic process
STM1557	99287.STM1557	GO Process	GO:0044238	Primary metabolic process
STM1557	99287.STM1557	GO Process	GO:0044249	Cellular biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0044272	Sulfur compound biosynthetic process
STM1557	99287.STM1557	GO Process	GO:0044281	Small molecule metabolic process
STM1557	99287.STM1557	GO Process	GO:0044283	Small molecule biosynthetic process
